trait_name,haplo,estimate,std.error,p.value,associated
c4_1,H1,0.155386149253801,0.0578672066922096,0.00726631678717071,Yes
c0,H1,-0.119012011646309,0.0534071427443585,0.0258879440567534,Yes
pc_aa_c38_1,H1,-0.129074035847565,0.0591015571367216,0.0290019637075369,Yes
pc_aa_c40_1,H1,-0.118915987292859,0.0588217923202036,0.0432546588964779,Yes
pc_aa_c36_2,H10,0.209652667665035,0.0850629925328192,0.0137389916220814,Yes
lyso_pc_a_c16_1,H10,-0.175975223889294,0.0854457089638512,0.0394856856155976,Yes
pc_aa_c42_4,H10,0.178125981060487,0.0865709250219386,0.0396702998200826,Yes
serotonin,H10,-0.16608262758746,0.0810566065914051,0.0405043646387826,Yes
pc_aa_c42_2,H10,0.171659176255787,0.0862250536587326,0.0465410053518824,Yes
asn,H11,-0.242678089644814,0.0792845132323359,0.00221594713811424,Yes
c10,H11,-0.228708996297834,0.0790849226836666,0.00384118067731354,Yes
c14_1,H11,-0.211240764801077,0.0785750349243142,0.00719763390073247,Yes
c10_1,H11,-0.206104144663965,0.079081714537559,0.00917537598419904,Yes
orn,H11,-0.183542577934057,0.0719357785321565,0.0107490217700392,Yes
met,H11,-0.190950837710929,0.0756655480257375,0.0116386996066682,Yes
gly,H11,-0.183329624357913,0.0787658964096407,0.0199673610164641,Yes
c8,H11,-0.178268458340093,0.0782920184142047,0.0228199265018048,Yes
gln,H11,-0.162211043639789,0.0767775957712206,0.0346604862839461,Yes
thr,H11,-0.163278602596457,0.0797604080967115,0.040686408522038,Yes
lys,H11,-0.154058965831841,0.0776424020893533,0.047273535747427,Yes
taurine,H12,0.124198971592099,0.0508719135092479,0.0146562684332245,Yes
pc_ae_c44_3,H12,-0.117803370577833,0.051427652556275,0.0220143072853087,Yes
lyso_pc_a_c16_1,H13,-0.119474681486876,0.0456862374540469,0.00894005049880153,Yes
sarcosine,H13,-0.109723506876455,0.0434615958893926,0.011605945208361,Yes
putrescine,H13,-0.114944091399854,0.0466608457192996,0.0137881165223868,Yes
pc_aa_c32_1,H13,-0.103345626646963,0.045811795159765,0.0241110942260505,Yes
spermidine,H13,-0.0983843416539461,0.0466371011871339,0.0349327041711147,Yes
c4_1,H13,0.0958407002236962,0.0461212037170843,0.0377461894166058,Yes
pc_aa_c34_3,H13,-0.0913420927419132,0.0443632069491679,0.0395371160746683,Yes
pc_ae_c36_3,H13,-0.0928211723391825,0.0459987173569964,0.0436411917457371,Yes
c18,H14,0.256088769239092,0.0748073185482569,0.000622386743282188,Yes
h1,H14,-0.186463711772811,0.0735162969609216,0.011224010879944,Yes
c14_2_oh,H14,0.177863484098409,0.073241094730236,0.0151893629921642,Yes
c16_1_oh,H14,0.174335548808696,0.0806228011652112,0.0306261731688502,Yes
lyso_pc_a_c16_1,H15,-0.421381873506998,0.0895807180006223,2.60381761085782e-06,Yes
sarcosine,H15,-0.295206692824832,0.0848950763274678,0.000509727293246387,Yes
lyso_pc_a_c18_2,H15,-0.292979577666599,0.0847041467944261,0.000545894529520474,Yes
tyr,H15,-0.252333884875804,0.0848238636518441,0.00294241477972101,Yes
lyso_pc_a_c16_0,H15,-0.251610451417977,0.0856517740703612,0.00331908477188625,Yes
arg,H15,-0.251541672062927,0.0887033329788453,0.00458552129166545,Yes
lyso_pc_a_c18_1,H15,-0.241138032556957,0.0853074558234123,0.00471725900272313,Yes
gln,H15,-0.24063209379694,0.0861928830693151,0.00525685331111392,Yes
gly,H15,-0.244730613890623,0.0891139242856688,0.00604408711767102,Yes
cit,H15,-0.207953295399715,0.0787249848156893,0.0082730266484643,Yes
pc_ae_c36_0,H15,-0.232207203496348,0.0890752797696704,0.00915806884444414,Yes
lyso_pc_a_c28_0,H15,-0.222839844562653,0.0906332010259321,0.0139695672864859,Yes
pc_aa_c36_2,H15,-0.205666314378217,0.0888244377668111,0.0206201585436085,Yes
met,H15,-0.194614027534577,0.0845402038136033,0.0213644582027483,Yes
ser,H15,-0.198255921806116,0.0892251031492782,0.0263187476507341,Yes
lyso_pc_a_c20_3,H15,-0.187831283732249,0.084890969326341,0.0269580499413045,Yes
c16,H15,-0.184759539880921,0.0835529306305801,0.0270500439022396,Yes
