trait_name,haplo,estimate,std.error,p.value,associated
GPX3_P22352,H1,0.0939372755515578,0.0389432992909053,0.0159095939440341,Yes
HP_P00738,H1,-0.109643709748982,0.0504907499805617,0.0299557001555355,Yes
F12_P00748,H10,0.0909319352159051,0.0318526418430011,0.00433211341129458,Yes
IGLL5_B9A064,H10,0.0756858601064599,0.0299607052477178,0.0115750296175057,Yes
LPA_P08519,H10,0.311444332503498,0.128961061150489,0.0157849495411626,Yes
IGHV6.1_A0A0B4J1U7,H10,0.217545992966017,0.090081060037896,0.0157859681782533,Yes
SERPINC1_P01008,H10,-0.0294997841091659,0.0136941317596785,0.0312931026036734,Yes
FBLN1_P23142,H10,-0.102408253072665,0.0478981159454405,0.032582183011318,Yes
CPN2_P22792,H10,-0.0694519187640431,0.0340782076079595,0.0416233017238141,Yes
AHSG_P02765,H11,-0.0496080881241335,0.0165958537318518,0.00281665032099054,Yes
F13B_P05160,H11,0.11102774040124,0.0408747109322626,0.00663412928958951,Yes
BCHE_P06276,H11,-0.0865772026384158,0.0373577938706859,0.0205330835037796,Yes
IGHG1_P01857,H11,0.0501240514910007,0.022573040605485,0.026446707916,Yes
IGHV2.26_A0A0B4J1V2,H11,0.0907570612364862,0.0426603069319128,0.0334535194250316,Yes
C7_P10643,H11,-0.0505028708297191,0.0253219668325315,0.0461824959701529,Yes
ORM2_P19652,H12,0.150744500779101,0.0452714791981772,0.000878104607693775,Yes
PLG_P00747,H12,-0.0730005263299638,0.0223336745699428,0.00109112656741184,Yes
GSN_P06396_P06396_2,H12,0.0838233633871198,0.0305582950062648,0.00611783203279703,Yes
ALB_P02768,H12,0.0562933536012199,0.021010200179515,0.00741134083731709,Yes
HBA1_P69905,H12,0.131937504264335,0.0517788503617901,0.0108735676260858,Yes
CFD_P00746,H12,0.143979744652178,0.057786270343994,0.0127631333448055,Yes
HBB_P68871,H12,0.110272121491655,0.0478483081312588,0.0212460976815625,Yes
APOA1_P02647,H12,-0.0980708127142459,0.0440509622480185,0.0260571904055005,Yes
IGLV3.10_A0A075B6K4,H12,0.215043657546027,0.099656512208891,0.0310073369181694,Yes
C8A_P07357,H12,0.0625362723494596,0.0299594363595493,0.0369272299226924,Yes
C8B_P07358,H12,0.0766919037187733,0.0377958261488434,0.0425224779562989,Yes
IGHV5.10.1_A0A0J9YXX1,H13,0.480186401361771,0.160265060279102,0.00275280934561328,Yes
APOE_P02649,H13,-0.157580227231404,0.053908469791446,0.00348775950539992,Yes
CP_P00450,H13,0.0867734316612235,0.0339075262219446,0.0105353782566788,Yes
IGLV4.69_A0A075B6H9,H13,0.215322016016152,0.088214794976764,0.0147005643170379,Yes
SERPINF1_P36955,H13,-0.0726011926295065,0.0316703096240908,0.0219412411594888,Yes
SERPINA1_P01009,H13,0.0749077467902329,0.0329096871403961,0.0228964357430157,Yes
IGLV2.23_P01705,H13,0.211680480911938,0.0930999056525585,0.0230447550052135,Yes
AMBP_P02760,H13,-0.0531258052370798,0.023657094063016,0.0247878206027052,Yes
CFH_P08603,H13,-0.0549112541777395,0.0249640022113653,0.0278991126300598,Yes
PGLYRP2_Q96PD5,H13,-0.0848683941318454,0.0402661601391765,0.0351290521136995,Yes
ATRN_O75882_2,H13,0.0788217898021157,0.0376659642261465,0.0364518899977035,Yes
CPN1_P15169,H13,-0.0965624702888999,0.0467752716937022,0.0390540305550273,Yes
PZP_P20742,H13,0.182064250118311,0.0882164006799091,0.0391066419552699,Yes
CD5L_O43866,H13,-0.164389099193665,0.0808321539337637,0.0420560911845365,Yes
C8G_P07360,H13,-0.0962335589200058,0.0479445035307322,0.0448064527034522,Yes
ALB_P02768,H13,-0.0453654524128272,0.0226129496041461,0.0449146622486989,Yes
IGHM_P01871,H13,-0.16194780870261,0.0810844814833903,0.0458727611087926,Yes
HBA1_P69905,H13,-0.109458818203017,0.0555603416522302,0.0489067769276348,Yes
IGLV1.40_P01703,H14,0.227036255040058,0.0595565261089651,0.000140152069773469,Yes
IGLV1.51_P01701,H14,0.151167439969384,0.0533411379124618,0.00462359552387337,Yes
IGHG3_P01860,H14,0.112551594026647,0.0452240257575911,0.0128651408955529,Yes
SERPINF1_P36955,H14,-0.0405683933593428,0.0196861390759643,0.0393996372933501,Yes
APOA2_P02652,H15,0.074446166397582,0.0254236525411987,0.00343099963808569,Yes
IGHV1.3_A0A0C4DH29,H15,-0.208039300252413,0.081669817135459,0.0108976935143705,Yes
IGHG4_P01861,H15,-0.326232242730173,0.134726320860571,0.0155094292446492,Yes
AHSG_P02765,H15,-0.0714724261041034,0.0311583316696316,0.0218582166866197,Yes
F12_P00748,H15,0.115969057162037,0.0535485307233013,0.0304027722267839,Yes
CFH_P08603,H15,-0.0553005236507676,0.0261695683696396,0.0346574492102556,Yes
LBP_P18428,H15,-0.191320044498925,0.0906103754097098,0.0348035275652743,Yes
FBLN1_P23142_P23142_4,H15,0.147650586235507,0.0707180322439078,0.0368809153970904,Yes
C9_P02748,H15,-0.0894447771243131,0.044571949924424,0.0448529144554106,Yes
APOC1_P02654,H15,0.18733839270612,0.0934168075363898,0.0449966660983057,Yes
C1QB_P02746,H15,0.0779167160562102,0.038987541856978,0.0457392751185768,Yes
HBA1_P69905,H16,0.213843910044114,0.0645372053195725,0.000930723657412091,Yes
CPN2_P22792,H16,-0.193036449673807,0.0628835830240273,0.00215883360437075,Yes
HBB_P68871,H16,0.179958576801168,0.0594502317944363,0.00248752726779888,Yes
KNG1_P01042_P01042_2,H16,-0.0780032548606994,0.0266245534537483,0.00341425812720808,Yes
SERPINC1_P01008,H16,-0.0633450483260282,0.0251070324430488,0.0116797238312336,Yes
C2_P06681,H16,-0.130917072242774,0.0524909202600131,0.0126737875343053,Yes
AZGP1_P25311,H16,-0.0787694515100171,0.0331812435721527,0.0176541845858966,Yes
SELENOP_P49908,H16,-0.168193641176785,0.0772007423807091,0.0294238507837021,Yes
IGHV4.28_A0A0C4DH34,H16,0.183599188065741,0.0852869045092392,0.031408404369202,Yes
TF_P02787,H16,-0.064141832270691,0.0305227391240565,0.0356732051413953,Yes
CPN1_P15169,H16,-0.112386458183221,0.0549744596906794,0.0409945914784124,Yes
APOE_P02649,H16,0.12595314615428,0.0633160964449549,0.0467484290868496,Yes
HPX_P02790,H16,-0.0509323460117215,0.0258668534318244,0.0490294809992811,Yes
IGHV3.72_A0A0B4J1Y9,H2,0.181693410240173,0.0685717405836082,0.00809290091925052,Yes
C1QB_P02746,H2,0.070418482697116,0.0270454528486837,0.00926101292317538,Yes
AFM_P43652,H2,-0.0620772216825489,0.0248233951905111,0.012438203470216,Yes
C6_P13671,H2,0.0588934770182654,0.0263557831872631,0.0255092981328997,Yes
APOH_P02749,H2,0.0759526596469146,0.0341731231486149,0.0263073940857073,Yes
IGLL5_B9A064,H2,0.0772457727528333,0.0351656231207832,0.0281123198232109,Yes
F13B_P05160,H2,0.112174583910406,0.0536966642726628,0.0367759044854514,Yes
IGLL5_B9A064,H3,0.0744381269589347,0.0297957517035792,0.0125252245781922,Yes
ITIH4_Q14624_Q14624_2,H3,-0.0361076993638913,0.0147393539439173,0.0143442278556298,Yes
IGHG4_P01861,H3,-0.171447396128555,0.0788430535663616,0.0297312522440421,Yes
ITIH3_Q06033_Q06033_2,H3,-0.0802520784480855,0.0377913215278119,0.0337769492242548,Yes
SERPING1_P05155_P05155_3,H3,-0.132765148817103,0.0627103060416281,0.0343200500054248,Yes
VTN_P04004,H3,0.0321721863113471,0.0163457488075632,0.0491203299027978,Yes
CD5L_O43866,H4,0.250359137498984,0.0761615025990142,0.00102181571319671,Yes
IGHM_P01871,H4,0.243401814801294,0.0769797122454158,0.00158084004441594,Yes
JCHAIN_P01591,H4,0.204294628268935,0.0662641424240313,0.00206495511464588,Yes
FGB_P02675,H4,-0.246577384878538,0.0835594176602413,0.00318925669992565,Yes
IGHV3.64D_A0A0J9YX35,H4,0.158114211547186,0.0537504366440956,0.00328622368542808,Yes
FGA_P02671,H4,-0.244378512795819,0.0868256512471426,0.00491122078084594,Yes
CELSR2_Q9HCU4,H4,-0.329064051376457,0.117469750481772,0.00511817143441284,Yes
FGG_P02679_P02679_2,H4,-0.215388137029842,0.0783526852097706,0.00600916634184823,Yes
FN1_P02751,H4,-0.259200902946637,0.0943532091402757,0.00604259261857831,Yes
C8B_P07358,H4,0.0940798748252116,0.0354037599185278,0.00791170117394335,Yes
ITIH4_Q14624_Q14624_2,H4,-0.048241403486487,0.0213071722852047,0.0236292990614255,Yes
