trait_name,haplo,estimate,std.error,p.value,associated
RBC,H1,0.0990172311458054,0.0365556663462542,0.00676433176023838,Yes
FE_HGB,H1,0.112806970045844,0.0426836954413232,0.00823094308126437,Yes
APTT_ratio,H1,0.106801632725859,0.0418968561699099,0.0108099496252225,Yes
Urate,H1,0.0867564424812554,0.0364190584060737,0.0172253933473168,Yes
LDL,H1,0.0887515171323345,0.0411117696053316,0.0308852844353023,Yes
Body_Fat,H1,0.06943580677897,0.0329985261508367,0.0353796353165383,Yes
AntiTPO,H1,0.0862934521125934,0.0435667726392822,0.0476443715174888,Yes
INR_PT,H10,-0.153451632214952,0.0551840500924091,0.00543169998290383,Yes
ALT_GPT,H10,0.124416581146981,0.0517660617111411,0.0162557963889269,Yes
SBP,H10,0.0944145282357509,0.0477410336876239,0.0479908597225043,Yes
Monocytes,H11,0.0979582213503671,0.0253342734168266,0.00011089595848901,Yes
eGFRcrea,H11,0.0692978367375185,0.018689918779852,0.000209978670247857,Yes
SCr,H11,-0.0742366667136871,0.0205373107212334,0.000301823761005515,Yes
HDL,H11,-0.0722658755358096,0.0240721048988817,0.00268677584631805,Yes
ALT_GPT,H11,0.0673860911220027,0.0235843290179229,0.00428031035675325,Yes
Magnesium,H11,-0.0726276429402502,0.0263022477000968,0.00576588267164846,Yes
WBC,H11,0.0607544005728508,0.0263820189581677,0.0213020247844677,Yes
TSH,H11,0.0595359305056597,0.0261457602693946,0.0227979997530259,Yes
Visceral_Fat,H11,0.0434961524418273,0.0197794906159314,0.0278919550430765,Yes
INR_PT,H11,-0.051195751599033,0.0252128470500761,0.0423220736334402,Yes
Cortisol,H11,-0.0505757058543552,0.0257144350721333,0.0492253455872009,Yes
Monocytes,H12,0.0721607499099593,0.036526608272099,0.0482253150362926,Yes
HbA1c,H13,-0.134464692961045,0.0476777400934623,0.00480551571568499,Yes
UGlucose,H14,-0.0777366558494337,0.032056201428515,0.0153216431205112,Yes
MPV,H14,0.0756468761951398,0.0328277572947218,0.021218530915184,Yes
MCV,H14,-0.0695458224501347,0.0323003656635545,0.0313296688638083,Yes
MCH,H14,-0.0656715845762352,0.0323797536492375,0.0425637515340194,Yes
AntiTPO,H15,0.163230086917886,0.0549510174278563,0.00297900893458669,Yes
Fibrinogen,H15,0.149275771748109,0.0511392361756868,0.00351760212772367,Yes
Phosphorus,H15,-0.137225293550076,0.0514741587403589,0.00768774492115032,Yes
CRP,H15,0.141355564034576,0.0536067997732295,0.00837694620298235,Yes
WBC,H15,0.127637081088014,0.0547733868184851,0.0198070500613969,Yes
Monocytes,H15,-0.109487255947615,0.0525249670726141,0.0371362751037916,Yes
GGT,H15,0.0973806773112923,0.0473274247199261,0.0396492189106261,Yes
Lipase,H16,-0.183871943649137,0.0462319009033263,7.01251216788101e-05,Yes
Urate,H16,0.128241826291413,0.0390081715974081,0.0010133079784822,Yes
DB,H16,0.124102152490511,0.0455696404558126,0.00647108250348283,Yes
TB,H16,0.11593579175563,0.0452076650159522,0.0103432718617447,Yes
AntiTPO,H16,-0.111752831587938,0.0462969190403921,0.0157998230942498,Yes
INR_PT,H16,-0.105071769727722,0.0445254064073709,0.0182989159395319,Yes
Monocytes,H16,0.104552010772751,0.044676739941145,0.0192892635155126,Yes
Chlorine,H16,-0.104971629198133,0.0462801570929045,0.0233349472704432,Yes
Sodium,H16,-0.100005662337579,0.0454317121289157,0.0277375007050393,Yes
Phosphorus,H16,0.0956378913421265,0.0437608939251798,0.0288728428443645,Yes
Calcium,H16,0.0999799486796931,0.0460904819781879,0.0300850599628522,Yes
Potassium,H16,0.0908247646678369,0.045720654198113,0.046997452112219,Yes
PTT,H2,-0.141378506469474,0.0657510995663339,0.0315574738393778,Yes
HbA1c,H2,-0.12066332263934,0.0583357894904747,0.038619916451899,Yes
BGlucose,H3,0.169043801012222,0.0564672140271566,0.00276176650115856,Yes
Calcium,H3,-0.162975952629939,0.0651433906600233,0.012368630972946,Yes
eGFRcrea,H3,0.113777346779915,0.0460874815649047,0.0135724734956602,Yes
SCr,H3,-0.110710044105103,0.050741827839803,0.0291401979788808,Yes
Body_Fat,H4,-0.117989807137867,0.0398140549112621,0.00304700473978015,Yes
Fibrinogen,H4,-0.119997818190323,0.048700029421683,0.0137519096546361,Yes
Visceral_Fat,H4,-0.0914624358584862,0.0390529135135817,0.0191952822973025,Yes
BMI,H4,-0.110761593858875,0.0487103279760926,0.022989491165845,Yes
Pulse_Rate,H4,-0.103810786810459,0.0507303661256347,0.0407448424428882,Yes
Cortisol,H4,0.103470173260685,0.0515190848871988,0.0446233226813413,Yes
Weight,H4,-0.0890739609603504,0.0446068462476146,0.0458607105071427,Yes
Monocytes,H5,0.154820010312421,0.0560196594204322,0.00572364796559821,Yes
RBC,H5,0.130726733399236,0.0486085576413927,0.00716782819599526,Yes
HGB,H5,0.10723526002604,0.0441166069047246,0.015082358603816,Yes
CRP,H5,0.137325196117977,0.0566926524601242,0.0154374614993802,Yes
Basophils,H5,-0.138911202974103,0.058330883111616,0.0172598629480405,Yes
Potassium,H5,-0.13384420070605,0.0569685691545292,0.0188168112919735,Yes
HCT,H5,0.101364654984667,0.045966324747692,0.0274582050306345,Yes
TB,H5,0.117982737035584,0.0564813066121812,0.0367381199434567,Yes
RDW,H5,-0.114898469507071,0.0559617511904475,0.0400772642329423,Yes
Calcium,H5,0.114564452568791,0.0571349332613489,0.0449673834656725,Yes
SCr,H6,-0.0893820956448218,0.0276603036184966,0.00123487592745208,Yes
eGFRcrea,H6,0.074595329781147,0.0249463899285217,0.00279301642927887,Yes
SBP,H6,0.0819752363978307,0.0295210146272803,0.00549693896799619,Yes
UGlucose,H6,-0.0947784786462565,0.0351360924217225,0.00699605371010104,Yes
FE_Glu,H6,-0.0883694782603614,0.0341854205063109,0.00974871587763415,Yes
UProteins,H6,-0.0751037352381347,0.0354049605700152,0.0339176423401994,Yes
SCr,H7,-0.0671236191338356,0.02490287670749,0.00703925575174447,Yes
FE_HGB,H7,0.0775750588963337,0.031178804655158,0.0128564508791029,Yes
eGFRcrea,H7,0.0463175623159661,0.0225712925499867,0.0401844838095864,Yes
Pulse_Rate,H8,0.121708759797685,0.0380194124796517,0.00137177948146694,Yes
DBP,H8,0.0870881615404947,0.0348012632176671,0.0123463304234372,Yes
HbA1c,H8,-0.0761890685793153,0.0332592777890774,0.021993391737456,Yes
ALP,H8,0.0782310987548797,0.0379698418705398,0.0393854145545181,Yes
Height,H8,-0.0516606173378441,0.0260066334752781,0.0470057699448079,Yes
Neutrophils,H8,0.0763717340402838,0.0387483076007578,0.0487488635137556,Yes
PLT,H9,-0.161092733773564,0.0576425284107146,0.00520275134460402,Yes
Monocytes,H9,0.131963922387054,0.0565862510697885,0.0197116653019733,Yes
MPV,H9,0.135943094608915,0.0590343992926672,0.0213073117918898,Yes
MCV,H9,-0.126557114261043,0.0569044624731118,0.0261639381064303,Yes
CRP,H9,0.123649425146606,0.0573446247762658,0.031082606593021,Yes
