trait_name,haplo,estimate,std.error,p.value,associated
c16_oh,H1,-0.164959361258005,0.0588562710360372,0.00508165932175753,Yes
his,H1,-0.134009353033863,0.0574726132489088,0.019745938156666,Yes
t4_oh_pro,H1,0.114222873350044,0.0564525069111044,0.0430777878864343,Yes
orn,H10,0.21284134596071,0.0722066660068814,0.00321299065651148,Yes
tyr,H10,0.183919258283628,0.0757687418927621,0.015234994940843,Yes
gln,H10,0.154893903187353,0.0764902072224961,0.0429058121431951,Yes
asp,H10,0.158798579820891,0.0792522800694534,0.0451418676180679,Yes
c5,H10,0.141582874078975,0.0715687234373745,0.047938727417733,Yes
glu,H11,0.0970567741480983,0.0326597855132334,0.00297172337570029,Yes
lyso_pc_a_c28_0,H11,-0.0993190081433448,0.0355177216406832,0.00518370243895738,Yes
serotonin,H11,-0.0902657960234569,0.0334214006706208,0.00693412124425574,Yes
pc_ae_c32_2,H11,-0.0844128956449887,0.0333187390176859,0.011316007088308,Yes
c12,H11,-0.0807766934304754,0.0348462993014372,0.0204750474755619,Yes
orn,H11,0.072902208497668,0.0321280717017373,0.023293565662676,Yes
lyso_pc_a_c28_1,H11,-0.0748134720850239,0.0332044530787697,0.0242844967935538,Yes
lyso_pc_a_c18_1,H11,-0.0757071602536353,0.0337716718989127,0.0250114965687769,Yes
creatinine,H11,-0.0664563550836879,0.0297725706858061,0.025639500899922,Yes
sm_c26_0,H11,-0.0770955513476591,0.0353793924845142,0.0293587563574222,Yes
c14_1,H11,-0.0762166710876478,0.0350032087143985,0.0294845171391294,Yes
adma,H11,0.0730776455225588,0.0337667838762434,0.0304856606513306,Yes
c12_1,H11,-0.0729408376236379,0.0346238017041126,0.0351839889813865,Yes
c14_2_oh,H11,0.0667169872410208,0.0317972382804679,0.0359252698212651,Yes
pc_aa_c40_2,H11,-0.0715489996108509,0.0352606167427632,0.0424832294433766,Yes
pc_aa_c40_5,H11,0.0686138684050109,0.0343925396810534,0.0460814686380915,Yes
cit,H13,0.147282399735908,0.0654075143052017,0.0243697642279121,Yes
pc_ae_c30_2,H14,-0.109283566819376,0.0414324360960747,0.00836822857759634,Yes
