trait_name,haplo,estimate,std.error,p.value,associated
F12_P00748,H1,-0.141312001726816,0.0355304220339248,7.1136222514312e-05,Yes
C4A_P0C0L4,H1,-0.198727347520604,0.0533268661412142,0.00019714906752899,Yes
C7_P10643,H1,-0.0918945867183285,0.0310342912587844,0.00308632763141836,Yes
IGHV3.49_A0A0A0MS15,H1,-0.120864577093254,0.0430696664809254,0.0050397237235118,Yes
CD14_P08571,H1,-0.126599356345586,0.0462365001150466,0.00621106680837324,Yes
SELENOP_P49908,H1,-0.109028571451198,0.0453445231430859,0.0162484376652747,Yes
LPA_P08519,H1,0.311515108335032,0.142808147521795,0.0292234667245119,Yes
AZGP1_P25311,H10,-0.0452703789484037,0.0125377868969388,0.000309628521952821,Yes
IGFALS_P35858_P35858_2,H10,-0.0511403303501814,0.0191933333896863,0.00774596620082946,Yes
RBP4_P02753,H10,-0.0391297014378237,0.0155003084152523,0.011631846758472,Yes
PZP_P20742,H10,0.0836705430535238,0.0395197367718255,0.0343144927495191,Yes
IGKV3.20_P01619,H10,-0.0539901000759438,0.0257560848817511,0.036135288536232,Yes
IGHV1.18_A0A0C4DH31,H11,0.17269967720785,0.0561447902660575,0.00211437233148004,Yes
C7_P10643,H11,-0.0769159659597189,0.0281826101239984,0.00638052007240741,Yes
IGHG1_P01857,H11,0.0606606060073075,0.0253626927583562,0.0168217558766042,Yes
IGHG4_P01861,H11,0.185072969310115,0.0802442618885889,0.021148004978484,Yes
LRG1_P02750,H11,0.0629751840008397,0.0284609689601084,0.0269835095515703,Yes
IGLV1.40_P01703,H11,0.126085821779583,0.0594329263181134,0.033951318424309,Yes
IGHV2.26_A0A0B4J1V2,H11,0.103807716660966,0.0489335562672229,0.0339580093404988,Yes
GSN_P06396_P06396_2,H11,0.0417169301483546,0.0199478826211561,0.0365733260985714,Yes
A1BG_P04217,H11,0.030758920636676,0.0155064385466645,0.0473758171367393,Yes
C9_P02748,H12,0.158022135520126,0.037936746723347,3.18283013895915e-05,Yes
APOE_P02649,H12,0.124221637872985,0.0490491095673563,0.0113653707848251,Yes
