trait_name,haplo,estimate,std.error,p.value,associated
pc_aa_c38_3,H1,0.132493394727473,0.0518863450155526,0.0106858994423598,Yes
pc_aa_c40_5,H1,0.127563385568621,0.0509395825897811,0.0122964041128566,Yes
phe,H1,0.112075809425878,0.0508479421470586,0.0275490389357274,Yes
pc_aa_c40_4,H1,0.114628694057683,0.0523778228512062,0.0286682711376605,Yes
pc_aa_c34_4,H1,0.108510440402564,0.0524263729408543,0.0385127657297137,Yes
lyso_pc_a_c14_0,H1,0.106602549426491,0.0532763198054678,0.0454399671801191,Yes
lyso_pc_a_c26_1,H10,0.135866383551452,0.0388852002098486,0.000478885897240211,Yes
val,H10,0.120100580937592,0.0359046269486552,0.000827435610593286,Yes
c0,H10,0.117032997659365,0.0357175254818775,0.00105596443423961,Yes
pc_aa_c40_5,H10,0.124387836880954,0.0381873448743882,0.00113042386995721,Yes
pc_aa_c36_1,H10,0.126392374530396,0.0392007915488816,0.0012692495099953,Yes
alpha_aaa,H10,0.110576113690276,0.0369390952332222,0.0027684275168629,Yes
pc_aa_c32_1,H10,0.113432191286669,0.0393247486561831,0.0039330274225442,Yes
pc_ae_c36_5,H10,0.110922542742309,0.0394453040627402,0.00493703108413746,Yes
pc_aa_c38_1,H10,0.110276429219378,0.0395849170108984,0.00535445648014421,Yes
pc_aa_c40_4,H10,0.10814250416698,0.0392714043674655,0.0059082741849954,Yes
pc_aa_c30_0,H10,0.10608018435012,0.0385581686571375,0.00595438578505925,Yes
pc_aa_c34_4,H10,0.106112721463263,0.0393084433997391,0.0069622470454771,Yes
pc_aa_c38_3,H10,0.102165860287084,0.0389201161139149,0.00868445473877566,Yes
orn,H10,0.0933366991276528,0.0356549792043998,0.00887067373707873,Yes
c4,H10,0.100732205130115,0.0386168350873811,0.00911431308115418,Yes
pc_aa_c34_1,H10,0.101565224513966,0.0397184452555458,0.0105760843352218,Yes
pc_aa_c38_4,H10,0.0985694463122995,0.0389649735674626,0.0114392291726131,Yes
pc_aa_c40_6,H10,0.0973501049636056,0.0384902441164707,0.0114548252577809,Yes
pc_aa_c38_5,H10,0.0964675837730798,0.038569794815422,0.0124041879202192,Yes
c3_1,H10,0.0926830699196364,0.0392010584354865,0.0180928774914801,Yes
lyso_pc_a_c16_1,H10,0.0906409022715557,0.0392678211207111,0.0210145628085305,Yes
pc_aa_c32_3,H10,0.0856042653181774,0.0370929319287355,0.0210391606603439,Yes
pc_ae_c32_2,H10,0.0853906090406577,0.037229656582854,0.021843644996753,Yes
pc_ae_c42_2,H10,0.089231404440332,0.0389511851776536,0.0220032582594487,Yes
pc_aa_c32_0,H10,0.087721765982521,0.0387377679654911,0.0235754473053751,Yes
pc_ae_c38_6,H10,0.0891136843697883,0.0396804418242483,0.0247507366918351,Yes
leu,H10,0.0740390288926335,0.0333027330388016,0.0262351655700621,Yes
pc_ae_c34_0,H10,0.0818686684159136,0.0376624756235117,0.0297595217001003,Yes
pc_ae_c36_4,H10,0.0853846018942878,0.0395706175804853,0.0309809749712642,Yes
pc_aa_c42_6,H10,0.0838832596966029,0.039010087419417,0.0315678743187839,Yes
pc_ae_c32_1,H10,0.0826473255401345,0.038491130386055,0.0318152973329313,Yes
pc_aa_c36_2,H10,0.0820186246741865,0.0389515805024337,0.0352718303588704,Yes
pc_aa_c36_6,H10,0.0805193388679886,0.03839955701543,0.0360418814501342,Yes
sdma,H10,-0.0765905328797837,0.0365841970225425,0.0363388110604652,Yes
pc_aa_c34_3,H10,0.0788949199176409,0.0380476735440046,0.0381568650370667,Yes
pc_ae_c36_0,H10,0.0811463861175846,0.0391719641186779,0.0383467880985555,Yes
