trait_name,haplo,estimate,std.error,p.value,associated
VTN_P04004,H1,0.0712201698197565,0.0164886048844929,1.6081503654064e-05,Yes
AFM_P43652,H1,0.0797290777880597,0.0214456608153142,0.000204162107960482,Yes
C3_P01024,H1,0.0483127125604433,0.0139847714740206,0.000557500942593325,Yes
AGT_P01019,H1,0.128119328091916,0.0421504385114237,0.0023866037049729,Yes
SERPIND1_P05546,H1,0.0743933301425191,0.0245766608891542,0.00248794703974209,Yes
GPX3_P22352,H1,-0.0961238760403346,0.033555121756524,0.00419941672631374,Yes
APOC3_P02656,H1,0.086606524760056,0.0302330108280078,0.00419969972701884,Yes
SERPINF1_P36955,H1,0.0558698895301853,0.0196544803423024,0.00450051099201421,Yes
HRG_P04196,H1,-0.0641777042657,0.0260715873715813,0.0138797976310574,Yes
PLG_P00747,H1,0.0349388192528064,0.0148256364975657,0.0184953083720605,Yes
IGFALS_P35858_P35858_2,H1,0.0631844079994453,0.0269486203253342,0.0191016561618409,Yes
LUM_P51884,H1,-0.0597814586433598,0.0254973455917865,0.0191021664162576,Yes
APOE_P02649,H1,0.0771362783962086,0.033484114319757,0.0212994365701296,Yes
SERPINA7_P05543,H1,0.0763462037315639,0.0338200720597475,0.0240428558970853,Yes
AZGP1_P25311,H1,-0.0379493710758159,0.0175770848745122,0.0309157397294446,Yes
CFB_P00751,H1,0.036416455746951,0.0169215276829567,0.0314591454908659,Yes
GC_P02774_P02774_3,H1,0.029295126626714,0.0139015933276014,0.035160454285255,Yes
IGHV3.72_A0A0B4J1Y9,H1,-0.120308896713071,0.0589156250475479,0.0412207322588096,Yes
SERPINA1_P01009,H1,0.0417508048776829,0.0206945841194233,0.0437219209572877,Yes
IGKC_P01834,H10,-0.0582580273068827,0.0187149337917646,0.00186739003919811,Yes
AFM_P43652,H10,0.0533981115024805,0.0179957494216106,0.00302492503906393,Yes
SERPIND1_P05546,H10,0.0499188855605765,0.0206483744561563,0.0156751537538442,Yes
LPA_P08519,H10,-0.259972735848948,0.109710429409903,0.0178598392610141,Yes
C2_P06681,H10,0.0538919974314318,0.0234877162837447,0.0218219313146539,Yes
