trait_name,haplo,estimate,std.error,p.value,associated
UGlucose,H1,-0.156027503514872,0.0555153750104999,0.00495353946975086,Yes
MPV,H1,-0.140931520730733,0.0567068080904511,0.0129581197010578,Yes
LDL,H1,0.107975833554573,0.0537159042885332,0.0444385930263658,Yes
Height,H10,-0.126349075119661,0.0404252015439233,0.00177898255333142,Yes
Lipase,H10,0.162472102816291,0.0603576234573127,0.00711547757519293,Yes
AntiTPO,H10,-0.160119732799229,0.0602550187685864,0.0078851259759074,Yes
WBC,H10,0.154621278363753,0.0606246607450868,0.0107693638604789,Yes
Pulse_Rate,H10,0.134671725134758,0.0591828939896892,0.022891335552659,Yes
UACR,H10,0.127008841946606,0.0571957834466249,0.0263956336406477,Yes
eGFRcrea,H10,0.0900061045409206,0.0428991384642892,0.035917045309068,Yes
SCr,H10,-0.0978384098883111,0.0471987455463737,0.0382012840062411,Yes
Urate,H10,-0.0998228998517407,0.0507823775306008,0.0493548938910116,Yes
S2UAlb,H11,-0.161726677107318,0.0584924609535932,0.00570191189811675,Yes
UAlb,H11,0.154695134134391,0.0583116734479027,0.00799015656592084,Yes
MPV,H11,-0.13836911489665,0.0586601865239103,0.018347832405738,Yes
SBP,H12,0.0633461765630369,0.0206189487152722,0.00212911036016394,Yes
HbA1c,H12,0.0592602705044114,0.0213883289351957,0.0056019574201045,Yes
APTT_ratio,H12,-0.0650687116273377,0.0238865287733477,0.00645691913154889,Yes
RDW,H12,0.0610272287955823,0.024175637358965,0.0116039680707545,Yes
LDL,H12,0.0545319454616046,0.0236039838842066,0.020888160100669,Yes
TG,H12,0.0543826383559919,0.0243308041919168,0.0254256424761836,Yes
DB,H12,-0.0517194835341878,0.0243843629555704,0.0339401016803564,Yes
TC,H12,0.0484283734825409,0.0235811728502769,0.0400261518262779,Yes
DBP,H12,0.0437730110374709,0.0222287159686355,0.0489504995494086,Yes
PLT,H13,-0.147755383031934,0.053859736079422,0.00609029210559697,Yes
MCV,H13,0.133219983491001,0.0547935216477202,0.0150580016309028,Yes
MCH,H13,0.125566537822252,0.054568889288562,0.0214039646385729,Yes
TS,H13,0.110315952944133,0.05444811434792,0.0427778084654271,Yes
UAlb,H13,-0.109769395366413,0.0551028762558411,0.0463833635210129,Yes
Weight,H14,0.168661599263588,0.055199761856824,0.00225165121906956,Yes
Eosinophils,H14,0.160173076481687,0.0637982683427139,0.012064227316448,Yes
BMI,H14,0.148754473366594,0.0599601277917209,0.0131182282745772,Yes
MCH,H14,-0.152101880005808,0.0629262856512113,0.0156567156669367,Yes
DBP,H14,0.135681083865852,0.0568553022306086,0.0170273728320067,Yes
Visceral_Fat,H14,0.10324915967687,0.0479510766346325,0.0313200996962468,Yes
TS,H14,-0.126802098240166,0.0626258954682916,0.0429132321978294,Yes
Body_Fat,H14,0.0955641486418131,0.0484205136024389,0.0484453621843641,Yes
MPV,H2,-0.174486870649079,0.0620523954756742,0.00493204033601335,Yes
MCHC,H2,-0.153978062966911,0.05895474379192,0.00901717279063785,Yes
Body_Fat,H2,0.119246367593573,0.0471632538542192,0.0114711188933247,Yes
FE_Glu,H2,-0.12968650041495,0.0601216550886912,0.031018910279955,Yes
HCT,H2,0.0987985801878767,0.0494098919725025,0.0455677105955554,Yes
UACR,H3,0.228585476156313,0.059682558911851,0.000128743177832291,Yes
FE_Alb,H3,0.190582458540512,0.0603533360871859,0.00159345446233239,Yes
FE_HGB,H3,0.180053174320503,0.0624921551503401,0.0039680642373523,Yes
SCr,H3,-0.132732222575935,0.0490748863589451,0.00684590948219022,Yes
MCV,H3,0.147831211096746,0.0617458950724453,0.0166715528689527,Yes
MPV,H3,-0.141131960947969,0.0630430161593456,0.0251950711631597,Yes
eGFRcrea,H3,0.0984770941117664,0.044488685583155,0.0268786012693392,Yes
HDL,H3,0.124067570282147,0.0578494658066848,0.0319986142832565,Yes
UG2Cr,H4,-0.146633197882826,0.058012672236774,0.0114962310303919,Yes
APTT_ratio,H4,0.131198668387044,0.058056549675197,0.0238477455876134,Yes
FE_Glu,H4,-0.13145420044234,0.0585403581929494,0.0247510380271088,Yes
Basophils,H4,-0.132955825271764,0.0606030437041291,0.0282619189368023,Yes
Urine_pH,H4,0.12623225074383,0.0605443536162322,0.0370931469945985,Yes
FE_Alb,H5,0.0972819729787391,0.038854735855186,0.0123013356548691,Yes
UACR,H5,0.087611523301615,0.0386125778336614,0.0232855444574054,Yes
AST_GOT,H5,-0.0845090492712474,0.0378500216197775,0.0255836728981884,Yes
SCr,H5,-0.0664010874354608,0.0320495054525458,0.0383013838308166,Yes
DBP,H5,0.075120000017358,0.0364965037231071,0.0395835128408382,Yes
UACR,H6,0.0829690512667363,0.0319832870395917,0.00949364910096295,Yes
MPV,H6,-0.0844926413712584,0.0336812039896767,0.0121333494772227,Yes
eGFRcrea,H6,0.0595328339699774,0.0240099858048881,0.0131693258886321,Yes
SCr,H6,-0.0574645541378526,0.0265579149813993,0.0305023610995223,Yes
MPV,H7,-0.141132345885914,0.0364002541761572,0.000106177928545392,Yes
Phosphorus,H7,0.0936083563196161,0.0344170782796974,0.00654049916220556,Yes
MCHC,H7,0.0694802932562798,0.034523498780349,0.04418280724077,Yes
Urate,H8,-0.0853666195268168,0.0422547616642055,0.043374713598189,Yes
UGlucose,H9,-0.141591378254705,0.0598992966305695,0.0181022598179066,Yes
DB,H9,-0.128997534661122,0.0599351632993982,0.0313935674105912,Yes
