trait_name,haplo,estimate,std.error,p.value,associated
sm_oh_c22_1,H1,0.316546638698122,0.0710311786852581,8.47031495454509e-06,Yes
sm_c26_0,H1,0.297657414574787,0.0730200923055185,4.62788298565275e-05,Yes
pc_aa_c28_1,H1,0.281785511956716,0.069764788575501,5.42685466182746e-05,Yes
sm_oh_c22_2,H1,0.27157460273166,0.0681372696502223,6.80056060711198e-05,Yes
sm_oh_c14_1,H1,0.266032218424647,0.0680693146958037,9.38934038625661e-05,Yes
sm_oh_c16_1,H1,0.261975995635796,0.0680282200890145,0.000118751914182091,Yes
pc_ae_c34_1,H1,0.266698383119281,0.070402535025809,0.000153093265886195,Yes
pc_ae_c36_1,H1,0.264307007254983,0.0705203142940103,0.000179800973233224,Yes
sm_c24_0,H1,0.27177180491034,0.0735515521286798,0.000221676617826461,Yes
lyso_pc_a_c28_1,H1,0.243995226272346,0.0687748690654168,0.000391247885831447,Yes
pc_ae_c34_0,H1,0.243534183483889,0.0702850523109038,0.000533696007556816,Yes
pc_aa_c36_1,H1,0.245640743343851,0.0731364942844573,0.000787634646524538,Yes
sm_oh_c24_1,H1,0.241622155879005,0.0719488712054586,0.000788812375779324,Yes
pc_ae_c30_0,H1,0.239500035626356,0.0714854029672843,0.000811658475042831,Yes
sm_c16_0,H1,0.237361557652081,0.0709802390725857,0.000830235481094954,Yes
sm_c18_0,H1,0.22963985827979,0.0713305280735296,0.00129089986667008,Yes
pc_ae_c30_2,H1,0.213348862518716,0.0674014030248928,0.00155600692745805,Yes
pc_ae_c38_3,H1,0.218229231291449,0.0706226244561765,0.00200936779281213,Yes
pc_ae_c38_4,H1,0.222785814752714,0.0737973559991324,0.00254673266190331,Yes
pc_ae_c40_2,H1,0.212297225096814,0.0705263742297576,0.00262076257340538,Yes
pc_ae_c42_2,H1,0.209802347446362,0.0728062579468934,0.00396868749370682,Yes
pc_aa_c36_6,H1,0.201436606120374,0.0717099585544022,0.00498342763112358,Yes
sm_c16_1,H1,0.190809995547771,0.0682526371189214,0.00519459943614442,Yes
pc_aa_c32_0,H1,0.200847471890293,0.0722760153630788,0.00546980556064192,Yes
pc_aa_c34_1,H1,0.205698139564902,0.0740827133911063,0.00550851227025984,Yes
pc_aa_c38_5,H1,0.19974405284334,0.0720971497733896,0.00561291748844739,Yes
pc_aa_c38_3,H1,0.200018067711639,0.0726888064769207,0.00594476046033909,Yes
pc_aa_c40_4,H1,0.201390495642574,0.0733554816304508,0.00605995632084078,Yes
pc_aa_c32_3,H1,0.189927060177262,0.0692362061796888,0.00610120744088172,Yes
pc_ae_c44_3,H1,0.195312225651797,0.0736900966068557,0.00805750346636547,Yes
pc_aa_c30_0,H1,0.188452582945035,0.0718929386391828,0.00877969939090328,Yes
pc_aa_c36_5,H1,0.18344195948323,0.0709891137690547,0.00978498981046894,Yes
pc_ae_c40_5,H1,0.189642619343887,0.0735152432361721,0.00991181373959105,Yes
pc_aa_c38_4,H1,0.187496572051481,0.0728231983316876,0.0100547750251745,Yes
lyso_pc_a_c28_0,H1,0.188900055331448,0.0735173630411934,0.0102073766723634,Yes
pc_ae_c32_2,H1,0.17661741017025,0.0696541713976441,0.0112472617745678,Yes
pc_aa_c34_3,H1,0.178978605961587,0.0709876684614729,0.0117167400610942,Yes
pc_ae_c40_4,H1,0.184421284803829,0.073383345905032,0.0119903849357028,Yes
pc_ae_c36_2,H1,0.175134107138767,0.0699135679874653,0.012268689354979,Yes
pc_aa_c34_4,H1,0.183623242371172,0.0734196754431654,0.0124080078162974,Yes
pc_ae_c36_0,H1,0.182244207947489,0.0731278639969092,0.0127222168850132,Yes
pc_aa_c36_2,H1,0.180281258851587,0.07266286791702,0.0131237383867013,Yes
pc_aa_c40_6,H1,0.176060432966584,0.0718503325827183,0.0142963776973581,Yes
pc_ae_c32_1,H1,0.175335498258075,0.0719626972855641,0.0148572933172435,Yes
pc_ae_c38_0,H1,0.174121818296914,0.071588748429961,0.0150316480370924,Yes
sm_c18_1,H1,0.167042934991518,0.0697887132816422,0.0167138024815063,Yes
pc_aa_c40_5,H1,0.168770364055043,0.0714393676478776,0.0181844585908237,Yes
pc_aa_c32_1,H1,0.168353835857773,0.0733619010782347,0.0217734551504551,Yes
c18,H1,0.152907094034564,0.0674265924781151,0.0233761682515952,Yes
sm_c24_1,H1,0.165251324539857,0.0736283380209145,0.0248397095527331,Yes
pc_ae_c40_6,H1,0.157842098385365,0.0721299646775949,0.0286825190161628,Yes
pc_ae_c40_3,H1,0.150680938536279,0.0693381502524688,0.029805772843559,Yes
pc_aa_c36_4,H1,0.159502394750227,0.0743208246015415,0.0318986230980003,Yes
pc_ae_c34_3,H1,0.155809618509698,0.0728385790042239,0.032463396027345,Yes
pc_ae_c42_3,H1,0.155031970884762,0.0730222785586013,0.0337843760057295,Yes
asp,H1,0.154555202967829,0.0732504510673471,0.0348996363054843,Yes
pc_aa_c36_3,H1,0.153072595987507,0.0732515620463567,0.0366843298153334,Yes
pc_ae_c34_2,H1,0.151061965812039,0.0722974149008715,0.0367051857931695,Yes
pc_ae_c36_3,H1,0.149925974713806,0.0728722556768019,0.0396887338243834,Yes
pc_ae_c38_6,H1,0.146055134709223,0.0741218724416556,0.0488258510219157,Yes
pc_ae_c38_2,H1,0.141642512995819,0.0718941088696028,0.0488623012385574,Yes
creatinine,H10,-0.193426256350832,0.0636259734935227,0.00237462745762418,Yes
pc_aa_c42_5,H10,0.162896094976852,0.0749570962103846,0.0298013078599442,Yes
lyso_pc_a_c18_2,H11,-0.265706787946145,0.0806516862787278,0.000991164468178374,Yes
cit,H11,-0.223666005276225,0.076502823659077,0.00347148521675145,Yes
pc_aa_c38_4,H11,0.224908620648319,0.0864093896998116,0.0092665186633849,Yes
lyso_pc_a_c26_0,H11,0.228120142847355,0.0879118568831095,0.00948346680140766,Yes
pc_aa_c42_6,H11,0.222741192801252,0.08691574734364,0.010407350035915,Yes
c14,H11,0.211222101171632,0.084908148660334,0.0128833197596785,Yes
pc_aa_c36_5,H11,0.207937315114066,0.0847910279809485,0.0142182918332645,Yes
pc_ae_c38_4,H11,0.206746513342108,0.0874206438367456,0.0180606168572035,Yes
pc_aa_c36_4,H11,0.199191882693495,0.088494657640834,0.0244251079352882,Yes
pc_aa_c40_4,H11,0.191627997463453,0.0872501222687189,0.0281046107787521,Yes
pc_aa_c38_5,H11,0.184969428750218,0.0858641332756611,0.0312596649434524,Yes
lyso_pc_a_c28_0,H11,0.181291772754243,0.0872108801480287,0.0376765143972662,Yes
