trait_name,haplo,estimate,std.error,p.value,associated
JCHAIN_P01591,H1,-0.15246259770131,0.0601199397565332,0.0112565707898988,Yes
IGKV1.5_P01602,H1,0.121187594562374,0.052228066570603,0.020378862770996,Yes
APOH_P02749,H1,-0.0815607133275282,0.0396700700785805,0.0398587066728504,Yes
F9_P00740,H1,-0.158271422708695,0.0791405106407207,0.0455903770031232,Yes
C2_P06681,H10,-0.101835856422618,0.0383304243721887,0.00792463372282937,Yes
ITIH4_Q14624,H10,-0.0774107355744974,0.0305238459972096,0.0112533559038521,Yes
CFB_P00751,H10,-0.0582002912423149,0.0233171677674754,0.0126048811357498,Yes
PGLYRP2_Q96PD5,H10,0.0793302157372968,0.0344201650997731,0.0212381774873673,Yes
FETUB_Q9UGM5,H10,-0.171531489513404,0.0774152503768951,0.026773826966163,Yes
PON1_P27169,H10,-0.0849493577923516,0.0406336284700607,0.0366342453331683,Yes
CP_P00450,H10,-0.0591235504043071,0.0290266841961572,0.0417381536575898,Yes
TF_P02787,H11,-0.0684592501659012,0.0216696196760046,0.00159534154395802,Yes
LUM_P51884,H11,0.106083024765166,0.033702750058246,0.00165994381994938,Yes
IGHV1.3_A0A0C4DH29,H11,-0.187286044154346,0.0625437291809529,0.0027683304029702,Yes
APOD_P05090,H11,-0.101843060320448,0.036877583301276,0.00578092621881865,Yes
C8A_P07357,H11,0.0698629485395137,0.0265774302758864,0.00860968134761064,Yes
PON1_P27169,H11,-0.100644627331441,0.0395154120021181,0.0109086047151072,Yes
PZP_P20742,H11,-0.182634653017427,0.0732898201195758,0.0127502047971644,Yes
C8B_P07358,H11,0.0813067134884488,0.0332251470452683,0.0144480881961302,Yes
IGHM_P01871,H11,-0.162528175500196,0.0671766730630237,0.0155961069917114,Yes
IGHV3.49_A0A0A0MS15,H11,0.123064254505642,0.0521127383247815,0.0182555397417599,Yes
A1BG_P04217_P04217_2,H11,-0.0546080661486644,0.0236820791894506,0.0211753378834236,Yes
IGHV1.18_A0A0C4DH31,H11,-0.161174846562063,0.0751108534270135,0.0319552987010157,Yes
F13A1_P00488,H11,0.132753469009868,0.0625667566037776,0.033925394428119,Yes
C1S_P09871,H11,0.0495578108941832,0.0248624571433178,0.0463082856067991,Yes
IGLV3.21_P80748,H12,-0.287581630914145,0.100736639509047,0.00433186399320573,Yes
IGKV3.20_P01619,H12,-0.174284106265874,0.0666741973702419,0.00898806382893902,Yes
C2_P06681,H12,0.125391928209883,0.0510192328025932,0.014029559775351,Yes
SERPING1_P05155_P05155_3,H12,-0.288678476550453,0.11758213588872,0.0141319146715717,Yes
IGHV3.49_A0A0A0MS15,H12,-0.168928999664167,0.0721647704457485,0.0192941551589627,Yes
CD14_P08571,H12,-0.173890003141059,0.0780354365762456,0.0259205901941726,Yes
SERPINC1_P01008,H12,-0.0554922682238813,0.0250317227061812,0.0266953768699927,Yes
APOA4_P06727,H12,-0.112147067627945,0.0530790911483469,0.0346858667291883,Yes
ORM1_P02763,H12,-0.114935611800779,0.0555026461888722,0.0384492731946897,Yes
ITIH4_Q14624_Q14624_2,H12,-0.0562097277519128,0.0272385574649293,0.0391282569321065,Yes
F2_P00734,H12,-0.0514835204111518,0.0254763809045082,0.0433728883379036,Yes
IGHV4.28_A0A0C4DH34,H12,-0.163923680558802,0.0833185030050494,0.0492118833564448,Yes
IGHG4_P01861,H12,-0.296598523152819,0.150812741842563,0.0493003112956485,Yes
CFD_P00746,H12,-0.137471689614417,0.0699386346109467,0.0494231362175945,Yes
A1BG_P04217,H13,-0.0251432645954831,0.0107754277425712,0.0196839918753073,Yes
ATRN_O75882_2,H13,-0.0371750947378602,0.0164851905255961,0.0241909928822699,Yes
CPN2_P22792,H13,0.0509328780731872,0.0236816742094309,0.0315657014893289,Yes
C1QB_P02746,H13,-0.034607492731875,0.0161121343353079,0.0317888503329464,Yes
A1BG_P04217_P04217_2,H13,-0.0265174556646456,0.0124922015609324,0.0338471517833949,Yes
AMBP_P02760,H13,-0.0220293468051274,0.0103996524260618,0.0342217636080941,Yes
C7_P10643,H13,0.0396809543334314,0.0198598315292649,0.0457882549042226,Yes
APOM_O95445,H13,-0.0341335067712054,0.0172729536315633,0.0482189504620676,Yes
C8B_P07358,H13,-0.0343796913776038,0.017465006009954,0.0490903402654919,Yes
ORM2_P19652,H14,-0.162598292205429,0.0531725051727406,0.00224546740455933,Yes
CFB_P00751,H14,-0.082029705981138,0.0297258662232756,0.0058183541935124,Yes
VTN_P04004,H14,-0.0700350767565185,0.0296140029656129,0.0180875873915283,Yes
FBLN1_P23142_P23142_4,H14,0.170378489060159,0.0727007579649205,0.0191563389179936,Yes
C9_P02748,H14,-0.110076281878083,0.0469829062263377,0.0191901000488832,Yes
F12_P00748,H14,0.132160753547313,0.0566221202567165,0.0196475608180191,Yes
CELSR2_Q9HCU4,H14,0.285833452135886,0.137406632977813,0.0375795383711348,Yes
IGLV1.51_P01701,H14,0.194638569373145,0.0960414112992064,0.0427777714631705,Yes
ECM1_Q16610_Q16610_4,H14,0.12388841634411,0.0614692722607307,0.0439333949551486,Yes
FGA_P02671,H14,0.203748510115,0.101838789448444,0.0455020771632131,Yes
CFH_P08603,H14,-0.0534233250731816,0.0271078551661074,0.0488288339449137,Yes
SERPINA6_P08185,H15,-0.248829987616205,0.0601776106112887,3.63388453048508e-05,Yes
ORM1_P02763,H15,0.168680044060492,0.0484131704554967,0.000499697910504526,Yes
SERPINF1_P36955,H15,0.107821898493253,0.0324621314554642,0.00090462798532176,Yes
PON1_P27169,H15,-0.150922499924088,0.0492282595934833,0.00218764611307076,Yes
C1QA_P02745,H15,0.155795581985042,0.0535822688734399,0.00366504986980987,Yes
F2_P00734,H15,0.0596895971397724,0.0221373820561833,0.00704440894864256,Yes
HP_P00738,H15,0.185676765804191,0.0722990739804638,0.0102645741073464,Yes
PGLYRP2_Q96PD5,H15,0.105165461954118,0.04159268099017,0.0114999229715493,Yes
APOD_P05090,H15,-0.11592101106245,0.0459118231678776,0.0116181385937821,Yes
CP_P00450,H15,-0.0825424836254258,0.0352100561167582,0.0191190168233732,Yes
SHBG_P04278,H15,-0.29138398327804,0.128706168655777,0.0236382054005633,Yes
SERPINF2_P08697,H15,-0.0679111297416059,0.0308684802123106,0.0278708256078986,Yes
