trait_name,haplo,estimate,std.error,p.value,associated
Calcium,H1,-0.269460387859704,0.0796004044684888,0.000713493784282315,Yes
UHGB,H1,0.239706030425159,0.07955572997716,0.00259134807661066,Yes
eGFRcrea,H1,-0.129177160512258,0.0569783900481205,0.0233991529642066,Yes
HbA1c,H1,-0.154227312734954,0.0691389538940211,0.025719166571162,Yes
FE_HGB,H1,0.165609212769473,0.0790662716410641,0.0362295358640032,Yes
SCr,H1,0.129753821410455,0.0623954070799418,0.0375874728833239,Yes
Iron,H1,0.155451959754305,0.0789011950147635,0.0488357594520425,Yes
RBC,H10,-0.159801765619088,0.0695807176928603,0.0216554501877022,Yes
Weight,H10,0.153706684461275,0.0710106929571885,0.0304400470002282,Yes
Body_Fat,H10,0.123774414352287,0.0621931601410848,0.0465943992862345,Yes
Lymphocytes,H2,0.244534787646657,0.0791576399076616,0.00201117351764801,Yes
Neutrophils,H2,-0.230712949934467,0.0797019219449706,0.00380164984739939,Yes
Height,H2,0.131726531217327,0.0534119465125227,0.0136670843034472,Yes
Sodium,H2,0.192931392543035,0.0783408466859366,0.0138019020097226,Yes
Calcium,H2,-0.169359911204945,0.0795015747103684,0.0331682324674905,Yes
ALT_GPT,H2,-0.146155804649164,0.07200612414505,0.0424006433381321,Yes
Body_Fat,H4,-0.152342426845339,0.0478048377658889,0.00144222672132899,Yes
Weight,H4,-0.156047883717966,0.0544525567648317,0.00416688633068807,Yes
Visceral_Fat,H4,-0.132961458025449,0.0475969284152828,0.00522203352433559,Yes
BMI,H4,-0.160788579002769,0.0593970989088796,0.00679820823941668,Yes
Monocytes,H4,-0.142620533258766,0.0606762814043906,0.018762512465363,Yes
S2UAlb,H4,-0.140611526856937,0.0631122529574268,0.0259005286481269,Yes
FE_Glu,H4,0.132510832694973,0.0606400026078808,0.0288918757034999,Yes
UACR,H4,0.128829538279823,0.0597776090078583,0.0311689019765202,Yes
FE_Alb,H4,0.125831979555522,0.0603459878481716,0.0370731153678157,Yes
UAlb,H4,0.128154291238301,0.0630833952161189,0.0422242987367367,Yes
UGlucose,H4,0.122356118589175,0.0615498974441411,0.046842065535996,Yes
Ferritin,H5,0.129569064008249,0.0609991355604288,0.0336797886685294,Yes
UAlb,H5,0.166425309878636,0.0784724930652359,0.0339568868421627,Yes
Height,H6,0.105117341469115,0.0502048063610336,0.0363000391018131,Yes
Iron,H6,0.14937465562131,0.0730356101079277,0.0408525281807668,Yes
INR_PT,H7,0.16735668762052,0.0684281281047436,0.0144693058081236,Yes
APTT_ratio,H7,0.146293891773749,0.0683570412868826,0.0323619857749862,Yes
SCr,H8,0.153382718311089,0.0588565076806042,0.00917003739422628,Yes
eGFRcrea,H8,-0.122200872041289,0.0535177203993148,0.022424755224391,Yes
Potassium,H8,-0.15037422730107,0.0741776607554663,0.0426608738054131,Yes
