trait_name,haplo,estimate,std.error,p.value,associated
c5_dc_c6_oh,H10,-0.175705153318343,0.0863245679679484,0.0418502515563737,Yes
c3,H2,-0.323478314526344,0.0997055310014557,0.00118309214366219,Yes
c0,H2,-0.24021837258719,0.0987383154158799,0.0150056195566828,Yes
c4,H2,-0.252657174595613,0.106121290799933,0.0173016238558832,Yes
val,H3,-0.20424081407295,0.0799910618946593,0.0106931249025515,Yes
ile,H3,-0.187961678173731,0.0754823645074726,0.0127936135464775,Yes
ala,H3,-0.212952660455274,0.0887406658990274,0.0164351303884258,Yes
leu,H3,-0.167237865648585,0.0743416986911716,0.0245081214994185,Yes
pc_aa_c38_3,H3,-0.193394111833267,0.0869045887124614,0.0260905603354358,Yes
c3,H3,-0.176595950373605,0.0796324749392413,0.0266134050342228,Yes
c0,H4,-0.313551749329533,0.0998924991144998,0.00170333677407841,Yes
c3,H4,-0.269960764183349,0.098612850320953,0.00620580890259559,Yes
tyr,H4,-0.25775104239114,0.10190648102544,0.0114523821488897,Yes
pc_ae_c34_2,H4,0.245933956799023,0.104723226672805,0.0188825943881719,Yes
glu,H4,-0.222356940706532,0.0995924715521743,0.0256041524677189,Yes
ile,H4,-0.202371075243088,0.0921475399626319,0.0281148051381859,Yes
pro,H4,-0.211419136633746,0.102015177901048,0.0382641488997926,Yes
pc_ae_c38_4,H4,0.217340299394378,0.106643358860706,0.0415885501772995,Yes
pc_ae_c36_4,H4,0.211940022377259,0.106633477607983,0.0469019478588111,Yes
pc_ae_c34_3,H4,0.2079697165466,0.105616946123327,0.0489839301213237,Yes
serotonin,H5,-0.258717095309387,0.10233003699851,0.0114859544783279,Yes
lyso_pc_a_c26_1,H6,0.244213128116539,0.1015477377637,0.016203753854112,Yes
pc_ae_c32_1,H6,0.212123630392888,0.100953603935896,0.035661203626558,Yes
ile,H6,-0.17697963707946,0.0864037364484582,0.0405712714193331,Yes
thr,H6,-0.2042297189886,0.102371829504088,0.0460860335411981,Yes
pc_aa_c42_4,H6,0.203559364739415,0.102907845351415,0.0479617343955372,Yes
h1,H7,-0.247738042433923,0.0947618323596114,0.00896070438504437,Yes
lyso_pc_a_c18_0,H7,-0.235159978716899,0.101927059304453,0.0210777435755425,Yes
pc_aa_c36_2,H7,-0.23651491120191,0.104624709239563,0.0238162108483777,Yes
pc_aa_c40_5,H7,-0.222821430753592,0.102607686495255,0.0299222964920414,Yes
pc_aa_c40_4,H7,-0.225849564853777,0.105276793215384,0.0319657117461443,Yes
sm_c24_0,H7,-0.224100125524195,0.10477888038953,0.032489096074158,Yes
pc_ae_c36_4,H7,-0.227952021078514,0.106745509485653,0.0327591005321457,Yes
pc_ae_c38_5,H7,-0.221471867269962,0.107435391558652,0.0392998252230385,Yes
pc_ae_c42_2,H7,-0.213647065664363,0.103976959388991,0.0399419518419442,Yes
pc_aa_c38_4,H7,-0.212258593316027,0.10505867848701,0.0433840516834576,Yes
pc_aa_c38_5,H7,-0.207252850096888,0.103384962926409,0.0450388773919113,Yes
sm_oh_c22_1,H7,-0.20226216451407,0.101247064238451,0.0457890845588003,Yes
c5_dc_c6_oh,H8,-0.266861071367342,0.106089897883018,0.0119124233863133,Yes
c9,H8,-0.237712482263224,0.105470800691857,0.0242399087867913,Yes
lyso_pc_a_c20_4,H8,0.199937897050186,0.0952488043368651,0.0358448246811851,Yes
arg,H8,-0.209072386104633,0.106061536798126,0.0487384137010538,Yes
asn,H9,-0.225933694625895,0.108244875390446,0.0369040564466332,Yes
pc_ae_c30_1,H9,0.214869302962274,0.106391506706366,0.0434641303634917,Yes
