trait_name,haplo,estimate,std.error,p.value,associated
IGHG1_P01857,H1,0.13356867155061,0.0580389121320323,0.0214294008554092,Yes
APOA2_P02652,H1,-0.0773335221584785,0.0343186971370159,0.0242958697680211,Yes
CPN1_P15169,H10,-0.208327459810864,0.0627196722541523,0.000904306558835444,Yes
IGHG4_P01861,H10,-0.396878821271255,0.168024366205519,0.0182294281937769,Yes
ITIH4_Q14624_Q14624_2,H10,-0.0723716798099964,0.0313000811793842,0.0208249390354691,Yes
F10_P00742,H10,-0.095265676554539,0.0455551260050019,0.0365803368327955,Yes
FCN3_O75636,H11,-0.15931185045386,0.0720345826507022,0.0270583878395732,Yes
GPLD1_P80108,H11,-0.114011606337536,0.0528338506624587,0.0310011511227599,Yes
APOD_P05090,H12,0.157805944574597,0.0628088975866104,0.0120331931130393,Yes
IGLV3.21_P80748,H12,0.295488032266986,0.126798772292768,0.0198430354707972,Yes
IGHA1_P01876,H12,0.222746868376748,0.104168380183674,0.0325584721977863,Yes
IGHV2.26_A0A0B4J1V2,H12,0.224135706845466,0.107316343144456,0.0368200416576303,Yes
IGHA2_P01877,H12,0.208831755285383,0.100797809140928,0.038358074314885,Yes
AFM_P43652,H12,-0.0979702013929877,0.0482911147101717,0.0425599860128372,Yes
C4BPB_P20851_P20851_2,H12,-0.149495773760355,0.0745065031651213,0.0448817242724759,Yes
CPN1_P15169,H12,-0.130795726995362,0.0659008729138734,0.0472518105700812,Yes
F2_P00734,H12,-0.0606759061244488,0.0307200174175166,0.0483321260966774,Yes
LPA_P08519,H13,0.692054073184034,0.278321548719573,0.0129458507801612,Yes
AGT_P01019,H13,0.180197232831918,0.0894171199584885,0.0439553202218748,Yes
HPX_P02790,H2,-0.0703383407838784,0.028056350735393,0.0122196233191827,Yes
FN1_P02751,H2,0.285815811632826,0.130334095731788,0.0283766073835596,Yes
F10_P00742,H2,-0.0900731153752282,0.0436470832553139,0.0391225401085309,Yes
ORM2_P19652,H2,-0.124696801067452,0.0606902829296421,0.0399875161357137,Yes
C9_P02748,H2,-0.107556352364544,0.0529047216520846,0.0421256584387963,Yes
FGB_P02675,H2,0.220209609148066,0.111222481799272,0.0477925770525025,Yes
APOD_P05090,H3,0.139577481590589,0.0635806257542177,0.0282085726605428,Yes
IGHA2_P01877,H3,-0.206833341020503,0.101319834497342,0.0412867080803048,Yes
ECM1_Q16610_Q16610_4,H3,-0.152568031145226,0.0777768804052309,0.0498866919381151,Yes
AHSG_P02765,H4,-0.0926200019583998,0.0347054264472417,0.00764852671887128,Yes
VTN_P04004,H4,-0.0737699982029501,0.0313046518833455,0.0185018262698964,Yes
AFM_P43652,H4,-0.0927491984037947,0.0403505877156153,0.021587125022831,Yes
C9_P02748,H4,0.109135372578181,0.0494342795667141,0.0273306478901385,Yes
F10_P00742,H4,-0.0883404771976981,0.0405452498805502,0.0294119765887397,Yes
IGLV1.51_P01701,H4,0.215170586093381,0.10005267193766,0.0315780345345047,Yes
TF_P02787,H4,-0.0652717820084752,0.0310723199030562,0.0357437112344159,Yes
SERPINA3_P01011,H4,0.0736486301967377,0.0364412165852974,0.043352935310522,Yes
CD14_P08571,H4,0.15539663451002,0.0782253805939782,0.0470527986587226,Yes
APOD_P05090,H5,0.156779528301148,0.0601975418769378,0.0092418875080309,Yes
CFH_P08603,H5,-0.0830459428811654,0.0334587399982414,0.0131097126870379,Yes
C4BPB_P20851_P20851_2,H5,-0.170583938505927,0.0724820886747543,0.0186543327373894,Yes
KNG1_P01042_2,H5,-0.15670140177433,0.0678613051359738,0.0209935221743998,Yes
C4BPA_P04003,H5,-0.0986327393324222,0.0437779684603978,0.0243192751804127,Yes
C5_P01031,H5,-0.0713431237060855,0.0325853120904827,0.0286315661059837,Yes
APOA1_P02647,H5,0.135064191905688,0.0666344950292983,0.0427439312085696,Yes
CP_P00450,H5,-0.0923457745676096,0.0467152392439776,0.0481446383835484,Yes
PLG_P00747,H5,-0.0638234072676287,0.032297262142659,0.0482189183602251,Yes
SERPINF1_P36955,H6,-0.103070185580909,0.0381728567265848,0.00696532831062013,Yes
APOA2_P02652,H6,-0.0668853331895934,0.0290365452648263,0.0213096059046911,Yes
ATRN_O75882_2,H6,-0.0977928158447182,0.0452631353941786,0.0307983867201738,Yes
ITIH4_Q14624_Q14624_2,H6,-0.0567957388678943,0.028499772325315,0.0463553467267497,Yes
CLEC3B_P05452,H7,0.121349987804387,0.0467822209648227,0.00952793489808013,Yes
GSN_P06396_P06396_2,H7,0.0988020201028482,0.0426650540710397,0.0206287740471895,Yes
HPR_P00739,H8,-0.222776027406656,0.0869768098246981,0.0104687819739566,Yes
APOL1_O14791_O14791_2_O14791_3,H8,-0.141732570195201,0.0646023156334742,0.0283062472875364,Yes
C4A_P0C0L4,H8,0.2234874944966,0.103637353759639,0.0311172620726139,Yes
F13B_P05160,H8,0.194017584498304,0.0960022655317786,0.0433588130534124,Yes
IGLV2.23_P01705,H9,-0.351688405866563,0.12210132357668,0.00399705753615875,Yes
IGLV3.10_A0A075B6K4,H9,-0.391917716685067,0.138069804008073,0.0045579906131179,Yes
APOD_P05090,H9,0.142895571149153,0.0582345622448712,0.0141841172344601,Yes
ITIH4_Q14624_Q14624_2,H9,-0.075260729102153,0.0310860805804485,0.0155264885646935,Yes
APOA1_P02647,H9,0.137335030335731,0.0607613383234791,0.0238675988000361,Yes
IGHA2_P01877,H9,-0.190462440104588,0.0924308405797706,0.0394153557030903,Yes
LBP_P18428,H9,-0.225630974377978,0.112333091665547,0.0446572740170039,Yes
