trait_name,haplo,estimate,std.error,p.value,associated
SAlb,H1,-0.189967061737012,0.0660435733787101,0.00402916734436642,Yes
Cortisol,H1,-0.183365546132501,0.0691748208855872,0.0080410733691092,Yes
Weight,H1,0.153609250029866,0.0620958632162009,0.0133834297366742,Yes
BMI,H1,0.152969813620183,0.0672386683394278,0.0229207439902923,Yes
Visceral_Fat,H1,0.119097094470523,0.0532708876431099,0.0253893695262526,Yes
TB,H1,-0.134079246406637,0.0681048637022184,0.0490070617405856,Yes
MCHC,H10,-0.0977700280800002,0.0335416198242898,0.00356433982804605,Yes
HbA1c,H10,0.0812827594075397,0.0300890714859673,0.00691381678641845,Yes
TB,H10,-0.0854024052477796,0.0343152257335159,0.0128315072712364,Yes
RDW,H10,0.0823500453025332,0.0342541028403427,0.0162267702147285,Yes
GGT,H10,0.0714310481689697,0.0306749906089694,0.0198935653161456,Yes
Lipase,H10,0.0811707325945995,0.0349584797522394,0.0202529453194251,Yes
HCT,H10,0.0637141630485188,0.0280021273467054,0.0229024171833041,Yes
DB,H10,-0.0743078048712514,0.0345715532666763,0.0316220567707739,Yes
MCH,H10,-0.0718452223786537,0.034749454333236,0.0387051438715686,Yes
PLT,H10,0.0687096814637307,0.0343045423026211,0.0452055806044809,Yes
Monocytes,H11,0.185471042327633,0.0587725666122589,0.00160461395319711,Yes
Eosinophils,H11,0.18402991847623,0.0603513275386106,0.00229835981912352,Yes
Neutrophils,H11,-0.172507915458435,0.0601137298761751,0.00411543891848742,Yes
SCr,H11,-0.132524599892668,0.0473655442484579,0.00515110384351081,Yes
Basophils,H11,0.132370880203282,0.0604373210094333,0.0285264376038612,Yes
MCV,H11,-0.129985923681637,0.0597055907037307,0.0294902078474288,Yes
UHGB,H11,-0.128364148336112,0.0596644052355826,0.0314604514628578,Yes
AST_GOT,H11,-0.118636486681774,0.0560251856738578,0.0342318832743052,Yes
INR_PT,H12,0.272082823846564,0.0599681709529533,5.75462329033272e-06,Yes
Lipase,H12,-0.167621029714357,0.0617194238310372,0.00661934986485524,Yes
MCV,H12,-0.157698063763869,0.0619607574368927,0.0109353947499067,Yes
UProteins,H12,0.132820004316574,0.0611776402722901,0.0299453452274618,Yes
S2UCr,H12,-0.121483229053885,0.0604555053494436,0.0445087760794618,Yes
PLT,H13,0.145395650422112,0.0678442614878528,0.0321255011431008,Yes
INR_PT,H13,0.134010842414837,0.066708749871452,0.0445692746265867,Yes
Cortisol,H14,-0.178349364660762,0.0614077126506816,0.00368648222039991,Yes
Lipase,H14,-0.162442656190606,0.0639504603822104,0.0110927555058677,Yes
DB,H14,-0.154615744290019,0.0613340643363835,0.0117182616034501,Yes
MCHC,H14,-0.144860407654843,0.0597433111863324,0.0153342219100736,Yes
eGFRcrea,H14,0.104884387317967,0.0443313419031332,0.0180001620344001,Yes
TB,H14,-0.141894245114903,0.060748720877054,0.0195192706717169,Yes
Weight,H14,0.125442652092066,0.0547836302525249,0.0220500620943889,Yes
MPV,H14,-0.143661593484678,0.0630825779959497,0.0227812914732093,Yes
HDL,H14,-0.135098873102808,0.0595729111875125,0.0233585771172626,Yes
Visceral_Fat,H14,0.107478993909351,0.0474683825985444,0.0235770689039279,Yes
BMI,H14,0.130931379754871,0.0590683794445613,0.0266674698674181,Yes
HbA1c,H14,0.116899144957964,0.0541622334850325,0.0309219015881184,Yes
SCr,H14,-0.103925688037543,0.0485075540051611,0.0321749644960696,Yes
PLT,H15,0.238054651758969,0.0698752694050433,0.000659190304545421,Yes
Pulse_Rate,H15,0.167172841343526,0.0694429045048759,0.0160831594120017,Yes
Cortisol,H15,-0.159405711863809,0.0710273340763415,0.0248309634366679,Yes
WBC,H15,0.162515963414661,0.0734872412286595,0.0270198374301913,Yes
RDW,H15,0.143488034685455,0.0698022051653326,0.0398376989263756,Yes
DBP,H15,0.129856187721636,0.0642759590701492,0.0433739198404171,Yes
Weight,H16,0.116002082555072,0.0302905326397871,0.000128938497245823,Yes
BMI,H16,0.123104252271654,0.0329639448761462,0.000188895093669927,Yes
Visceral_Fat,H16,0.0917502171688733,0.0261701304854328,0.000456600124414841,Yes
Body_Fat,H16,0.0798480787033726,0.0265672442129384,0.00265650785424909,Yes
Neutrophils,H16,-0.0911147474867841,0.0349302109749944,0.00910510494330685,Yes
RDW,H16,0.0872080308892152,0.0342098041417001,0.0108082345417031,Yes
Lymphocytes,H16,0.0813531456600143,0.0348502920738347,0.0195922345844397,Yes
MCHC,H16,-0.0763270270763268,0.0332064101692201,0.0215457966109289,Yes
CRP,H16,0.0759916733580605,0.0342755757641259,0.0266351638912266,Yes
SAlb,H17,-0.126581765021571,0.0415212912420234,0.00230380355918691,Yes
AST_GOT,H17,-0.121627852839206,0.04205805269468,0.00383559531545918,Yes
MPV,H17,-0.127233768575411,0.0452592800260558,0.0049429108476855,Yes
BMI,H17,0.110457295784467,0.0426237343842767,0.0095680771794,Yes
INR_PT,H17,0.105501012829299,0.0432713567189891,0.0147771391736433,Yes
Weight,H17,0.0910471290660371,0.0392058816840658,0.0202333360117108,Yes
Visceral_Fat,H17,0.0688991516942869,0.0340858550412295,0.0432651974607461,Yes
INR_PT,H2,0.240016132568955,0.0586495125263915,4.29584829304552e-05,Yes
RDW,H2,0.166430792140811,0.0596101734669919,0.00524632181358031,Yes
Neutrophils,H2,-0.154104330113597,0.0610808098246303,0.0116492333184619,Yes
ALP,H2,-0.132861276470684,0.0600428324848616,0.026930739136563,Yes
Lymphocytes,H2,0.133295764680702,0.0605403880914347,0.0276996158660374,Yes
Pulse_Rate,H2,-0.133866217964584,0.0608157431893396,0.0277412729300517,Yes
APTT_ratio,H2,0.126880102063195,0.058854415981342,0.0311155322071963,Yes
MCV,H2,-0.126653267854741,0.060964293606186,0.0377753983023985,Yes
Visceral_Fat,H3,0.10713921303425,0.0474651820685963,0.0240113023002095,Yes
Weight,H3,0.122722768858869,0.0545054373387652,0.0243663850959122,Yes
ALP,H3,-0.135293683262788,0.0623719501613232,0.0300901656856591,Yes
Body_Fat,H3,0.103836673685294,0.047993619697247,0.0305172166960348,Yes
BMI,H3,0.127518728608525,0.0592377675829345,0.0313640947725262,Yes
FE_Alb,H4,-0.306905982096295,0.0695551392291795,1.0306053593423e-05,Yes
UACR,H4,-0.26320677264493,0.0689990753943711,0.000137021216110256,Yes
Neutrophils,H4,-0.214833467275716,0.0722689771763207,0.00295749144920254,Yes
Lymphocytes,H4,0.179741947794175,0.0716020086448297,0.0120753673177081,Yes
Chlorine,H4,0.153877267778263,0.0726416537900412,0.0341683523114296,Yes
UAlb,H4,-0.148398610691564,0.072190191007632,0.0398353701010876,Yes
TB,H5,-0.136362056708531,0.0516480847020842,0.00829538998123391,Yes
PLT,H5,0.128941797098409,0.0517399574691984,0.0127111271496911,Yes
Visceral_Fat,H5,0.0952258097364102,0.0396425539356374,0.0163149202972082,Yes
MPV,H5,-0.126107475219685,0.0531856342225692,0.0177508329423084,Yes
BMI,H5,0.117227817822275,0.0498801213208969,0.0187788684385097,Yes
Body_Fat,H5,0.0893022609085617,0.0402102234720908,0.0263762180191671,Yes
Neutrophils,H5,-0.116248504108935,0.0530698232471331,0.0285072518433607,Yes
DB,H5,-0.113772251744651,0.0521159263396425,0.0290494093667799,Yes
Lymphocytes,H6,0.132015341925976,0.0401811506113765,0.00102073648691903,Yes
Neutrophils,H6,-0.130479881066371,0.0403087813193359,0.00121096995287195,Yes
PLT,H6,0.0902690861396058,0.0392934671302474,0.0216174207407893,Yes
SBP,H7,0.138237175839963,0.0472761664241736,0.00346131186776111,Yes
DBP,H7,0.119180753843489,0.0506508382899294,0.0186383386892934,Yes
UProteins,H8,0.199430307180946,0.0722653713422209,0.00579377790562541,Yes
AST_GOT,H8,-0.17891831787771,0.0684626566094367,0.00897587853182946,Yes
MCV,H8,-0.177649302811784,0.0736636265862621,0.0158954349763087,Yes
INR_PT,H8,0.166593480886973,0.0712597915500162,0.0194112401293838,Yes
Body_Fat,H8,0.129117484928939,0.0553894813119109,0.0197644187113117,Yes
Cortisol,H8,-0.162673486877351,0.0738754648029305,0.0276833483873102,Yes
BMI,H8,0.146710564026487,0.0687542282324639,0.032874779310224,Yes
Weight,H8,0.131267415694099,0.0624831600457276,0.0356741030316379,Yes
Urate,H8,0.129506222942319,0.0617731999630981,0.0360592857459712,Yes
Basophils,H8,0.153092841563427,0.0734979856355533,0.0372753136388417,Yes
BGlucose,H8,0.12711565310331,0.0640860718295061,0.0473313147911307,Yes
ALP,H9,0.113033686354967,0.0399264609169032,0.004646822359613,Yes
DB,H9,-0.10947962525294,0.0398255162551767,0.00598644772239987,Yes
TB,H9,-0.104952479160376,0.0395929050674909,0.00804025431964295,Yes
BMI,H9,0.0939940029079802,0.0383089930882882,0.0141576180623362,Yes
Visceral_Fat,H9,0.0705336461717832,0.0305336962368467,0.0209025135112086,Yes
Eosinophils,H9,0.0897213503074695,0.0405090101869816,0.0267879524871655,Yes
Neutrophils,H9,-0.0871470254009263,0.0404192085896188,0.0310960290386673,Yes
DBP,H9,0.0778243684220366,0.0363402371059279,0.0322486752691633,Yes
INR_PT,H9,0.0813018494507361,0.0389888760327314,0.0370656835028522,Yes
Fibrinogen,H9,0.0767125715387152,0.0378548193306115,0.0427348551453641,Yes
