trait_name,haplo,estimate,std.error,p.value,associated
taurine,H10,0.326333941532861,0.0948992826608467,0.000588034599799503,Yes
c5,H10,-0.216598661008559,0.0835450817964632,0.00954642165689923,Yes
sm_c18_1,H10,0.202794754174921,0.0886661341228558,0.0222171914903044,Yes
lyso_pc_a_c28_1,H10,0.195015764145204,0.086348957970431,0.0239493721658666,Yes
pc_ae_c30_2,H10,0.182623014536685,0.085096548945812,0.0319038056637517,Yes
sm_oh_c22_2,H10,0.18525644807125,0.0866421718447254,0.0325387853582924,Yes
gly,H10,0.18995074812684,0.0934655523014546,0.0421624114533428,Yes
sm_c16_1,H10,0.168892303478887,0.0860161646111329,0.0496305317609032,Yes
alpha_aaa,H11,-0.127297482240306,0.044288482954895,0.0040624177022075,Yes
ile,H11,-0.114701668358032,0.0402869469033796,0.00442530225006399,Yes
leu,H11,-0.111730833088878,0.0395577767676351,0.00474966092714535,Yes
phe,H11,-0.120265974487291,0.0452404620823263,0.00787081892841979,Yes
c3,H11,-0.103988594158211,0.0424428652743246,0.0143080182543609,Yes
val,H11,-0.101037802322018,0.0425975037643043,0.0177244620139323,Yes
glu,H11,-0.0957068818231014,0.0428767202145835,0.0256390111013203,Yes
c5,H11,-0.0863944153908806,0.0424699239291149,0.0419662839781201,Yes
c3_dc_c4_oh,H11,-0.0959059831381388,0.0472320778694627,0.0423429903954173,Yes
lyso_pc_a_c28_0,H12,-0.24309451193273,0.0860269707938364,0.00473049823318794,Yes
pc_ae_c36_0,H12,-0.227809145879915,0.0845021797347639,0.0070377112682436,Yes
lyso_pc_a_c24_0,H12,-0.219952144563248,0.0835769152498047,0.00851477936513367,Yes
c14_1_oh,H12,-0.217078021717032,0.0851429823091244,0.0108079462356057,Yes
pc_aa_c36_3,H12,-0.212008379673184,0.0858288120085099,0.0135314189657549,Yes
pc_ae_c40_3,H12,-0.197264324090425,0.0814550393358376,0.0154723882457839,Yes
pc_ae_c38_3,H12,-0.198335864814079,0.082497429161104,0.0162376312886026,Yes
pc_ae_c38_2,H12,-0.196445908957521,0.084152125962401,0.0196038310645288,Yes
dopa,H12,-0.203461555342675,0.08872440357853,0.0218685329155073,Yes
pc_ae_c36_3,H12,-0.193546321307726,0.0849863429913118,0.0227952416545776,Yes
lyso_pc_a_c26_0,H12,-0.192311101984532,0.0848095912739983,0.0233879756329956,Yes
pc_ae_c36_2,H12,-0.181552928117376,0.0816145643653044,0.0261473517124668,Yes
pc_ae_c36_1,H12,-0.179895660132033,0.0824293298497903,0.0291133974726658,Yes
pc_aa_c42_2,H12,-0.186764687524942,0.0863633161391991,0.0306118107665729,Yes
kynurenine,H12,-0.171601949494933,0.0808914686374539,0.0339265102269031,Yes
c9,H12,-0.18340868137237,0.0873172160138145,0.0357237888160069,Yes
pc_ae_c42_1,H12,-0.18144008418022,0.0872159772445621,0.037531508201619,Yes
sarcosine,H12,-0.164145793916485,0.0807969110743134,0.0422355877587413,Yes
pc_aa_c42_0,H12,-0.165733342945981,0.0843616725692769,0.0495073042577263,Yes
c4_1,H13,-0.284320575539394,0.10725184656273,0.00804541387597535,Yes
serotonin,H13,0.251011094812601,0.0958704375041431,0.00885880626807678,Yes
c5_1_dc,H13,-0.245427547009481,0.10244612978463,0.0166174603597664,Yes
lyso_pc_a_c16_0,H13,-0.233001212806597,0.097554610209484,0.0169489558688256,Yes
spermine,H13,0.237500884211051,0.105347629548443,0.0242005060090817,Yes
taurine,H13,0.230394015167814,0.103060511733104,0.0254163591332333,Yes
lyso_pc_a_c20_3,H13,-0.208132421777716,0.0950979739180644,0.0286600183378023,Yes
pc_aa_c34_1,H13,-0.204108222953958,0.101354752368191,0.0440709390500591,Yes
lyso_pc_a_c16_1,H13,-0.199906570347077,0.100114673838622,0.045890446762145,Yes
pc_aa_c32_1,H13,-0.20102421083924,0.101525820746867,0.0477415003918522,Yes
lyso_pc_a_c28_1,H14,0.114209798395185,0.0459765898295422,0.0130130180080581,Yes
pc_ae_c30_2,H14,0.101170487160237,0.0450591089148731,0.0247828243603934,Yes
met,H14,-0.0972760011061977,0.0466110720142219,0.0369288679799129,Yes
sm_c16_1,H14,0.0950144637442515,0.0456506923983407,0.0374414716287887,Yes
sm_oh_c16_1,H14,0.0927481154378198,0.0454581602995922,0.0413604669796699,Yes
arg,H14,-0.0998024169771448,0.0494598999956211,0.0436477046223971,Yes
pc_aa_c38_5,H14,0.0964616001332653,0.0482071398203669,0.0454351687250028,Yes
sarcosine,H14,-0.0922530807059418,0.0466751319051748,0.0481404300627535,Yes
sm_c18_1,H14,0.0919829255764409,0.0467593525638752,0.04920700688883,Yes
c2,H15,-0.238032760719242,0.0628530433316086,0.000153747043238006,Yes
c3,H15,-0.218604667094376,0.0580499145304526,0.000167453665354644,Yes
c0,H15,-0.189256857527672,0.058562926285032,0.00123666094869312,Yes
c4,H15,-0.179846548944878,0.0628571069300843,0.00423368952311431,Yes
h1,H15,-0.16437396221342,0.0583051720083156,0.00482866013424355,Yes
leu,H15,-0.136987602735549,0.0548246647926635,0.0124908420132832,Yes
ile,H15,-0.137910724107831,0.055395064145663,0.0128136144288034,Yes
c3_1,H15,0.159678728073108,0.0644177710659043,0.0132072957327354,Yes
c18_1,H15,-0.148550742011625,0.0603416702826497,0.0138484725253738,Yes
alpha_aaa,H15,-0.143523525531348,0.0604306011621316,0.0175766374302611,Yes
c6_c4_1_dc,H15,-0.142440330959222,0.0616365904204173,0.0208651007137899,Yes
c16,H15,-0.13492990989677,0.0604712319496624,0.0256941604861392,Yes
c14_1,H15,-0.135280744358651,0.0633088600755627,0.0326478021220384,Yes
phe,H15,-0.127251614018345,0.0622893105806545,0.0411006593901313,Yes
c12_1,H15,-0.127826578572207,0.063184735748498,0.0431070079623361,Yes
kynurenine,H15,-0.121112311496407,0.0609893342230836,0.0470973238101848,Yes
arg,H2,-0.263597148161827,0.0776971246846403,0.000696327060822011,Yes
c3_dc_c4_oh,H2,-0.253911357708654,0.0784773142645125,0.00122038245587941,Yes
