trait_name,haplo,estimate,std.error,p.value,associated
IGHG1_P01857,H1,0.164455919002187,0.0393505602416177,2.99608446738819e-05,Yes
C9_P02748,H1,-0.125597077599883,0.0408323110593691,0.00211469736254966,Yes
IGKC_P01834,H1,0.102999574349172,0.0347518147986194,0.00305849787066781,Yes
IGHG3_P01860,H1,0.194031349917848,0.0716305036728938,0.00678590144974578,Yes
PZP_P20742,H1,0.224226558960035,0.0854404418280344,0.00871883193420198,Yes
TF_P02787,H1,0.0626944470584513,0.0254943372161005,0.0139745397577069,Yes
SERPINA3_P01011,H1,-0.0711047909739645,0.0297898129413522,0.0170446183653525,Yes
C6_P13671,H1,-0.0805535069254251,0.0339078118731066,0.0175709429210738,Yes
F12_P00748,H1,-0.117351190310279,0.0495343537606185,0.0178859482353482,Yes
JCHAIN_P01591,H1,0.157650242632964,0.0666894098433383,0.0181356174021503,Yes
FGA_P02671,H1,-0.205712489794594,0.0902803690013145,0.0227509739466536,Yes
CFH_P08603,H1,-0.0550417307545373,0.0242331803784425,0.0231869185592837,Yes
FGB_P02675,H1,-0.195785121149965,0.0867313501330515,0.0240459775968191,Yes
FGG_P02679_P02679_2,H1,-0.182141469476868,0.0814401687401332,0.0253812592884757,Yes
ITIH3_Q06033_Q06033_2,H1,-0.131702073576356,0.059568335174509,0.0271042367733534,Yes
SERPINA6_P08185,H1,0.125041653344211,0.056844419502733,0.0278919957114039,Yes
IGKV1.5_P01602,H1,0.126880090704539,0.0582853592862855,0.0295562051257092,Yes
CD5L_O43866,H1,0.169813072374623,0.0784833234796829,0.0305559862215006,Yes
GC_P02774_P02774_3,H1,0.04701992825609,0.0219531685168041,0.0322759729056035,Yes
CELSR2_Q9HCU4,H1,-0.259992979570318,0.121829491491267,0.0329060314437419,Yes
CLU_P10909_P10909_2_P10909_4_P10909_5,H1,-0.0360671584702134,0.0171086521066548,0.0350910595460292,Yes
IGLV3.21_P80748,H1,0.175662356393139,0.0851454424649464,0.039177941454732,Yes
IGHM_P01871,H1,0.160999159782427,0.0781652170312121,0.0394981239469367,Yes
IGKV4.1_P06312,H1,0.128292590267442,0.0627489410959414,0.0409749711134373,Yes
TTR_P02766,H1,0.120216107753414,0.059062431500128,0.0418849565138357,Yes
ORM1_P02763,H1,-0.0917324050373727,0.0458122970938063,0.0453236269372286,Yes
HBA1_P69905,H1,0.105719753541849,0.0536501488268974,0.0488550987672323,Yes
FBLN1_P23142_P23142_4,H10,-0.269204822536295,0.0743618673458474,0.00029853756355136,Yes
PLG_P00747,H10,0.0889574812559017,0.0263689623586542,0.000750061732371465,Yes
CP_P00450,H10,0.117607660346178,0.0382573984464238,0.00212752299517405,Yes
IGLV2.18_A0A075B6J9,H10,-0.361094685219352,0.122656164952896,0.00326171520151286,Yes
FGA_P02671,H10,-0.245321942835501,0.105138817820693,0.0196878965184224,Yes
C5_P01031,H10,0.0605676486117498,0.0260457598320591,0.0201056431550408,Yes
FGB_P02675,H10,-0.234291624255736,0.100949798719593,0.0203508037460514,Yes
PON1_P27169,H10,0.123069834414822,0.0534134807817547,0.0212754023242712,Yes
IGKV4.1_P06312,H10,-0.162179262626353,0.0706984193973959,0.0218517321267235,Yes
GPLD1_P80108,H10,0.116559848134325,0.0513420875790394,0.023252292686736,Yes
FGG_P02679_P02679_2,H10,-0.212717639307375,0.0945425256921257,0.0245127569331882,Yes
IGHV3.7_P01780,H10,-0.167801860020901,0.0765304732704621,0.0284006272855784,Yes
FN1_P02751,H10,-0.252315137007301,0.116699582743216,0.0306785887580279,Yes
HPX_P02790,H10,0.0514125259108314,0.0248449724371195,0.0385879346371065,Yes
F2_P00734,H10,0.0482959244573419,0.0241412627582311,0.0455173432375025,Yes
APOH_P02749,H10,0.103503259989279,0.0522845969773297,0.0478251380256247,Yes
TTR_P02766,H11,-0.178358696677379,0.0745023385517512,0.0167179281154306,Yes
SHBG_P04278,H12,-0.453231687281272,0.140079516244307,0.00122544886699272,Yes
PON1_P27169,H12,-0.182034375746799,0.0563144140145232,0.00123863724155382,Yes
IGHG2_P01859,H12,-0.175734791004307,0.0615991085179007,0.00435789634855865,Yes
IGHV3.7_P01780,H12,-0.214359389729691,0.0790476688234445,0.00672507318144211,Yes
C9_P02748,H12,0.100872827704973,0.0469501902794097,0.0317417685553467,Yes
APOA2_P02652,H12,-0.0575235466631685,0.027471323115658,0.0363361754703171,Yes
IGHG1_P01857,H13,0.156238284073512,0.0524134670095188,0.00289396528118591,Yes
ITIH4_Q14624_Q14624_2,H13,-0.076869479520642,0.0303264119167537,0.01129631556097,Yes
C4A_P0C0L4,H13,-0.229038289576266,0.0991776907300993,0.020980734075996,Yes
IGKC_P01834,H13,0.104141254549742,0.046094524614968,0.0239260265892574,Yes
IGFALS_P35858_P35858_2,H13,0.113686301175308,0.0535901651295428,0.0339579343280119,Yes
IGLV3.10_A0A075B6K4,H13,0.27425632970447,0.129769848609823,0.0346365284196117,Yes
PZP_P20742,H14,0.127889731771968,0.0528156384548587,0.015509721042841,Yes
IGHG1_P01857,H14,0.0547653351168941,0.0246911254249152,0.0266175295014182,Yes
AMBP_P02760,H14,-0.0286341895038695,0.0141421742370376,0.0429699863482516,Yes
APOA4_P06727,H14,-0.0563384678693235,0.0286709968289388,0.0494932471315344,Yes
IGKV3.20_P01619,H15,0.125113484099959,0.0438082685952493,0.00431629253105337,Yes
SELENOP_P49908,H15,0.138105579477458,0.049446968593785,0.00525043783560308,Yes
KNG1_P01042_P01042_2,H15,0.0424600687150938,0.0171892413187669,0.01355275753372,Yes
IGLV1.40_P01703,H15,0.169480842132225,0.0725523806797337,0.0195484149418139,Yes
C4A_P0C0L4,H15,-0.137765296668079,0.0591515497975826,0.0199144117881962,Yes
C9_P02748,H15,-0.0687453798323055,0.0317025502912507,0.0301915383635558,Yes
IGFALS_P35858_P35858_2,H15,0.069676588275952,0.0323781623366746,0.0314683918158218,Yes
C8B_P07358,H15,-0.0642640007987551,0.0305205525894244,0.0353102651723289,Yes
PZP_P20742,H15,0.140383406061531,0.0669896093575902,0.0361892580907925,Yes
IGLV3.21_P80748,H15,0.136144596467069,0.066345420880903,0.0402382131763104,Yes
