trait_name,haplo,estimate,std.error,p.value,associated
Fibrinogen,H1,0.0928825070145907,0.0410808903513697,0.0237780601014468,Yes
S2UAlb,H1,-0.100585741486332,0.0458760943460616,0.0283575764633666,Yes
UAlb,H1,0.0956936146704008,0.0456289702515096,0.0359943942726937,Yes
Height,H1,-0.0623537506122781,0.0301826425246757,0.0388597811199558,Yes
WBC,H1,-0.0920120483187257,0.0450357563262871,0.0410640838184415,Yes
Calcium,H1,0.0895896951703676,0.0454601478799115,0.0487762323552163,Yes
Calcium,H10,0.0907473613008643,0.035907578467529,0.011507961117281,Yes
Urate,H10,0.0734869057468362,0.0302239995880922,0.0150538512769312,Yes
SAlb,H10,-0.071783994937264,0.033256924843855,0.0309100225618577,Yes
SBP,H10,0.0608518278369376,0.0299832838705192,0.042425476008686,Yes
Weight,H11,0.180789939708019,0.068430680137653,0.00825322118629712,Yes
BMI,H11,0.185294808383433,0.0725408405321115,0.0106500505059519,Yes
Transferrin,H11,0.171178351682445,0.0681132176815131,0.0119782157411894,Yes
Body_Fat,H11,0.127047186085073,0.0585658489787082,0.030077880078657,Yes
Visceral_Fat,H11,0.119198434509932,0.0571705730026184,0.0370925744236383,Yes
AntiTPO,H12,0.165824453443095,0.0624653786298751,0.0079486155664994,Yes
UHGB,H12,-0.141266685224813,0.0626018384439796,0.0240504956935672,Yes
DBP,H12,-0.112019186925778,0.0562660716427979,0.0465149310898294,Yes
AntiTPO,H13,0.117733408004269,0.0434740316676647,0.00677530316617148,Yes
MCH,H13,-0.109355246126504,0.0426343457987813,0.0103301636580362,Yes
TS,H13,-0.0993975498021502,0.0420480266940135,0.0180982846039188,Yes
Height,H13,0.0676737952612914,0.0294136114633338,0.0214209353856218,Yes
Fibrinogen,H14,0.225117479303207,0.0674797513848493,0.000852121154715002,Yes
CRP,H14,0.232530265169988,0.0709536357244868,0.00105116002102235,Yes
WBC,H14,0.217736112158108,0.0749982135823415,0.00369980997465613,Yes
UHGB,H14,-0.181356971994527,0.0727567113443475,0.0126919374740655,Yes
TG,H14,0.164983168831095,0.0706771935439319,0.0195943691905454,Yes
MCV,H14,-0.149149544494851,0.0722089808130403,0.0388933140859962,Yes
Neutrophils,H14,0.148787598338562,0.0724334504799664,0.0399835383030931,Yes
SCr,H15,0.112376452851577,0.0364226826141859,0.00203751395584972,Yes
eGFRcrea,H15,-0.0943503839213006,0.0331072794581271,0.00438113354077685,Yes
FE_Glu,H15,-0.111289911896689,0.0453401045931605,0.0141190078302413,Yes
UCr,H15,0.0953963784007387,0.0446140781666839,0.0325147408813602,Yes
RBC,H15,-0.0780989575617634,0.0390302838776916,0.0454152315195584,Yes
MCH,H15,0.0892923903828242,0.0454059471951249,0.0492583975374703,Yes
Pulse_Rate,H16,-0.278574922293289,0.0839523391785744,0.000908357186478526,Yes
MCHC,H16,0.22297324260032,0.0849192604598065,0.00865716233172087,Yes
WBC,H16,-0.222354538961781,0.0879487916045317,0.0114759294058842,Yes
PLT,H16,-0.202803945452796,0.0830863486007503,0.0146649118461046,Yes
SAlb,H16,-0.188058926400357,0.0787556076518601,0.0169602937207889,Yes
Neutrophils,H16,-0.169275318274952,0.0854543366309747,0.0476254000878877,Yes
MPV,H17,0.0851271697458009,0.0402580900931979,0.0344888124339049,Yes
Fibrinogen,H17,0.0771130544355155,0.0375407706910935,0.0399848373956058,Yes
Calcium,H18,0.135096271844953,0.0552328357981718,0.0144608205798291,Yes
SCr,H2,0.207399620760058,0.047396318781564,1.21912727479856e-05,Yes
eGFRcrea,H2,-0.177000310058673,0.0431897934913494,4.18946681453036e-05,Yes
Neutrophils,H3,-0.112525203523211,0.0337012608321525,0.000843503029927861,Yes
Lymphocytes,H3,0.100263054777131,0.033555084963175,0.00281329452538071,Yes
Pulse_Rate,H3,-0.0935427242143295,0.0332255803758994,0.0048793614700462,Yes
WBC,H3,-0.0871622169344346,0.0342502012289763,0.0109435614743458,Yes
SCr,H3,0.0629957448710084,0.0266945950240159,0.0182963134762391,Yes
eGFRcrea,H3,-0.0566815827648148,0.0242276896416683,0.0193229343472086,Yes
MCV,H3,-0.0777667127912991,0.0335653265899744,0.0205261670318007,Yes
AntiTPO,H3,0.069634599890105,0.0340513377309631,0.0408763784781185,Yes
TC,H4,0.208149671070858,0.0589696279762859,0.000417369145297997,Yes
TG,H4,0.187385909152704,0.0643310552546355,0.00358779985516611,Yes
LDL,H4,0.146711023172293,0.0592686788826773,0.0133232222983943,Yes
SAlb,H5,-0.10496307808674,0.0354263071134228,0.00305358726496152,Yes
AST_GOT,H5,-0.0732915597121333,0.0364864366977991,0.0445862688783376,Yes
Lymphocytes,H6,0.0874352380368446,0.0354388362069837,0.0136298347628143,Yes
Neutrophils,H6,-0.0862517786756921,0.0355111287094822,0.0151597951619102,Yes
Urate,H6,0.0713688633219901,0.0303971483780636,0.0188957294662166,Yes
APTT_ratio,H6,-0.0676267034469055,0.0343946266956096,0.0492971253551024,Yes
SCr,H7,0.100716637279101,0.0491000682186476,0.0402626695496842,Yes
MCH,H8,-0.174498984161571,0.0558487110001144,0.0017850872662033,Yes
SAlb,H8,-0.156141896728877,0.0509212867263841,0.00217149656338966,Yes
MCV,H8,-0.16407901642339,0.0555028551299101,0.00311996220883426,Yes
Calcium,H8,0.136423725673049,0.0547983024321549,0.0128026845275473,Yes
RBC,H8,0.112269330791619,0.0472631687587487,0.0175441775791247,Yes
UCr,H8,-0.113314645728763,0.0525874301217736,0.0311971945314311,Yes
Pulse_Rate,H8,-0.115027859162242,0.0543249217319823,0.0342447205049452,Yes
S2UCr,H8,0.112257360020834,0.0541228200478145,0.0380878737819415,Yes
Height,H9,-0.110647772738893,0.0379240156447146,0.00353329971415195,Yes
FE_Alb,H9,0.140416677302648,0.0525606545670673,0.00756048041426061,Yes
UG2Cr,H9,0.141616229558459,0.0532564494321692,0.0078438434666237,Yes
MPV,H9,0.13185536597187,0.0546505605577963,0.0158488434287214,Yes
UACR,H9,0.12588098350526,0.0522596428217218,0.0160208157448452,Yes
MCV,H9,-0.134704436104858,0.0569709303543511,0.0180721120195719,Yes
Ferritin,H9,-0.104042808815367,0.0444467868783722,0.0192556850490764,Yes
DB,H9,0.11745912102459,0.0535020098316171,0.0281517172733441,Yes
FE_HGB,H9,0.112619975742602,0.0539881221381964,0.0369971070825916,Yes
FE_Glu,H9,0.112172615270825,0.0541420033610438,0.0383019844957877,Yes
TB,H9,0.108335712899058,0.0533920130611824,0.0424726104957791,Yes
