trait_name,haplo,estimate,std.error,p.value,associated
pc_ae_c44_4,H1,-0.159726008994666,0.0617925555986962,0.00976267093865202,Yes
c4_1,H1,-0.157639552700812,0.0634834584672275,0.01304689375152,Yes
pc_ae_c42_3,H1,-0.139069704586784,0.0596496535036514,0.0197599718682655,Yes
pc_ae_c44_5,H1,-0.142732351085868,0.0624704658303051,0.0223562608932266,Yes
adma,H1,0.137273465275354,0.0602321659722314,0.022694508626842,Yes
putrescine,H1,0.140527738491941,0.062315287878458,0.0241590987913352,Yes
pc_ae_c44_6,H1,-0.137595708701832,0.0618078294630939,0.0260353293919187,Yes
lyso_pc_a_c18_2,H1,-0.129168661724677,0.0584929162083191,0.0272590538156834,Yes
pc_ae_c42_4,H1,-0.132504549728296,0.0607869569660705,0.0293060719606639,Yes
pc_aa_c42_0,H1,-0.128023678352677,0.0600393573466098,0.0330165476572881,Yes
kynurenine,H1,0.124725821602244,0.0589473871782261,0.0343919879699441,Yes
pc_ae_c42_5,H1,-0.128754813275767,0.0618815347795637,0.0375028989524249,Yes
gln,H1,-0.124326427094509,0.0618423228304752,0.0444317789423891,Yes
arg,H10,-0.21152354669232,0.0727979991857479,0.00367739260607669,Yes
pc_aa_c36_0,H10,-0.171279875766466,0.0728739808989574,0.0187846480007092,Yes
pc_aa_c38_0,H10,-0.164245642047378,0.0718626676701284,0.022312179667378,Yes
pc_aa_c40_1,H10,-0.161963477998985,0.0723655271171812,0.0252457332844722,Yes
pc_ae_c42_0,H10,-0.166381852922371,0.0744689050530948,0.0255001994202519,Yes
pc_aa_c38_1,H10,-0.15692260876662,0.0740423912835692,0.0340970938131548,Yes
pc_ae_c42_3,H10,-0.1495060586518,0.0726825837864738,0.0397280531333084,Yes
c5_m_dc,H10,0.157668951180017,0.0769385521650399,0.0404737369639743,Yes
pc_aa_c42_2,H10,-0.144988345606989,0.0726934795529378,0.0461366424055325,Yes
lyso_pc_a_c26_1,H10,-0.14994548666942,0.0754590435734828,0.0469513249544637,Yes
pc_ae_c38_6,H10,-0.143463474515404,0.0727755137779277,0.0487294889257346,Yes
pc_aa_c40_1,H11,-0.113257329038934,0.0470848116135984,0.0161825271926439,Yes
pc_aa_c38_1,H11,-0.113108652335979,0.0483542085850283,0.019356335362323,Yes
pc_aa_c38_0,H11,-0.105363658620871,0.0473170737812907,0.0259970385399766,Yes
pc_aa_c42_1,H11,-0.102169269432648,0.0472805925615329,0.0307378346544129,Yes
pc_ae_c34_3,H11,-0.101223020332912,0.0469062140249758,0.0309647175268779,Yes
pc_aa_c42_0,H11,-0.0963772293432641,0.0463805456604196,0.0377509336013118,Yes
c16_1_oh,H12,-0.344378430365149,0.101292801463796,0.000678264544261342,Yes
ser,H12,-0.280264002381039,0.0992745608577651,0.00477009663254213,Yes
c14_1,H12,-0.262620953003586,0.0991513623745394,0.00809971614651372,Yes
c14_2,H12,-0.222720972479373,0.101758236883601,0.0286515799724663,Yes
c2,H12,-0.201404462945985,0.0962152273729571,0.0363630696075075,Yes
sm_c20_2,H12,-0.212132546548003,0.102880708075526,0.0392536588143448,Yes
sarcosine,H12,-0.185703458731174,0.0928897413486642,0.0456295850178385,Yes
sm_oh_c24_1,H13,0.170665808014268,0.0814718165692783,0.0362282276449564,Yes
sdma,H13,0.158241837710761,0.0769280356273706,0.039724297662294,Yes
pc_aa_c38_1,H14,-0.175563938316615,0.0621478798025892,0.00474314224160954,Yes
taurine,H14,-0.140497751923841,0.05977932566006,0.0187888734640453,Yes
sm_oh_c22_2,H15,-0.275749401889137,0.0949741014105068,0.00370336848991837,Yes
sm_oh_c16_1,H15,-0.259661400700141,0.092616775801594,0.00506812132586232,Yes
sm_oh_c22_1,H15,-0.26593589074746,0.0961642963671523,0.00570051029557517,Yes
ser,H15,-0.272843002724283,0.101673624862833,0.00730335349407474,Yes
lyso_pc_a_c17_0,H15,-0.254564640375432,0.096601520626428,0.00842832063062637,Yes
sm_c26_0,H15,-0.25777136051447,0.099805884825495,0.00982358254323135,Yes
sm_oh_c14_1,H15,-0.229095549468368,0.0937639650331477,0.0145787373816204,Yes
lyso_pc_a_c28_1,H15,-0.237283228532352,0.0971746748385209,0.0146394014165487,Yes
pc_aa_c40_2,H15,0.246640977907938,0.101661144887522,0.0152882869392801,Yes
pc_ae_c36_1,H15,-0.223809402293558,0.0949511238758626,0.0184472307770156,Yes
pc_ae_c38_3,H15,-0.222198501869477,0.0973609169399622,0.0225083109725084,Yes
c9,H15,-0.231863494586817,0.103591558220272,0.0252381212825066,Yes
sm_c16_0,H15,-0.205849075182029,0.0959679609113498,0.0319910224987008,Yes
pc_ae_c40_3,H15,-0.207977396879628,0.100406081158517,0.0383636410427513,Yes
pc_ae_c38_4,H15,-0.207687289881427,0.10027387766175,0.0383787962310751,Yes
taurine,H15,-0.206257481659731,0.100554656176967,0.0402870312653538,Yes
putrescine,H16,0.181526244425953,0.0665575767535855,0.00640125714822504,Yes
c5_1,H16,0.18229170295331,0.0673079994165001,0.00677985862168029,Yes
spermidine,H16,0.179859594172085,0.067509265816698,0.00773542070973288,Yes
c3,H16,0.145618129849452,0.0601054861598038,0.0154319446261519,Yes
c5,H16,0.14066572448583,0.0621713743294959,0.0236958840249946,Yes
alpha_aaa,H16,0.130375528993573,0.061859933655162,0.0351038220199209,Yes
c4,H16,0.138134617826552,0.0660912077882719,0.0366504975822459,Yes
pc_aa_c42_0,H16,-0.13402678506551,0.0656996314385396,0.0413907029293745,Yes
lyso_pc_a_c16_0,H17,-0.304661957482372,0.0966416087659095,0.00162607088732347,Yes
sarcosine,H17,0.289957930721954,0.0983137657412281,0.00319598819070421,Yes
kynurenine,H17,0.279614870487765,0.100775998844977,0.00554218593039835,Yes
adma,H17,0.249057070290221,0.0976098266216816,0.0107465861449769,Yes
lyso_pc_a_c18_0,H17,-0.23546324426785,0.0973812064612385,0.0156349328441325,Yes
pc_aa_c38_6,H17,-0.23788676369173,0.103954102407939,0.0221466660053733,Yes
c5_dc_c6_oh,H17,0.241469378782291,0.106383502787033,0.0232517307415629,Yes
c5,H17,0.197922494633801,0.0954361573267281,0.0381297184471641,Yes
lyso_pc_a_c18_1,H17,-0.201994870675625,0.0996181678321781,0.0426318291057712,Yes
his,H18,-0.163202974174916,0.0560252648098067,0.00359145577918918,Yes
c16_1,H18,-0.151916192171399,0.0530589372886954,0.00420759350984934,Yes
c16_1_oh,H18,-0.142002448489579,0.0563064731953757,0.0116937341587202,Yes
c12_1,H18,-0.130531411345985,0.0559951519463968,0.0197769554237204,Yes
c4_1,H18,-0.131944637212395,0.0567861126594279,0.0201805017653074,Yes
c12_dc,H18,-0.134368545911698,0.0583242257982591,0.0212635991868781,Yes
c14_1,H18,-0.121948942968054,0.0558153686505472,0.0289338839349158,Yes
c0,H18,-0.109356526554987,0.0515333942561266,0.0338704930771883,Yes
c16,H18,-0.109885211425745,0.0521517675422661,0.0351527736695869,Yes
c14_1_oh,H18,-0.111762697389871,0.0551894576798081,0.0428999580981999,Yes
asp,H19,0.160070680165569,0.0764619036520177,0.0363452612807575,Yes
alpha_aaa,H19,0.144520788150689,0.0708956198387073,0.041539580254321,Yes
phe,H19,0.150507540680474,0.0744145501946867,0.0431592144952138,Yes
spermidine,H2,0.263867046998157,0.0803689677921016,0.00103170883935921,Yes
kynurenine,H2,0.21965794577064,0.0770713564000555,0.0043846333071258,Yes
creatinine,H2,0.186426348786522,0.0689938005316237,0.00690843938624841,Yes
