trait_name,haplo,estimate,std.error,p.value,associated
IGHV3.64D_A0A0J9YX35,H1,-0.155948887819413,0.0440453553863032,0.000404350050074775,Yes
VTN_P04004,H1,0.0682071636068776,0.021151494989396,0.00127264877799771,Yes
IGKV4.1_P06312,H1,-0.148605506247644,0.0495333831734032,0.00271785171067829,Yes
HRG_P04196,H1,-0.0866438082762367,0.0327290834170515,0.008150006603306,Yes
C3_P01024,H1,0.0431393436864397,0.017024426618337,0.0113211560506037,Yes
GPX3_P22352,H1,-0.103450212101652,0.0426953755249687,0.0154439933962898,Yes
C1R_P00736,H1,0.0608043232301482,0.0260868529019933,0.0198181985062573,Yes
IGKV3.20_P01619,H1,-0.100820907891955,0.0449922424150979,0.0250981698424306,Yes
IGHV4.28_A0A0C4DH34,H1,-0.126398888412858,0.0565360840508643,0.0254328504834977,Yes
ITIH4_Q14624,H1,0.0622735085425317,0.028361792491842,0.0281800052499948,Yes
RBP4_P02753,H1,0.0607856793310209,0.0278745894604546,0.0292731097544192,Yes
IGLV8.61_A0A075B6I0,H1,0.150537266002791,0.0695023917902857,0.0303838638565959,Yes
APOD_P05090,H1,-0.0725308589110248,0.0340797097948769,0.0333842504111441,Yes
IGHV1.18_A0A0C4DH31,H1,-0.149246572156105,0.0702287829256081,0.0336440723545408,Yes
APOM_O95445,H1,-0.0626892350223702,0.0303996312459961,0.0392650729532411,Yes
F10_P00742,H1,0.0542987461468551,0.0267693357381645,0.042595640105783,Yes
IGKC_P01834,H1,-0.0565038829577894,0.0278948777932771,0.042881415037108,Yes
GSN_P06396_P06396_2,H1,-0.0504941313669233,0.0251726701976448,0.044942540606927,Yes
IGHM_P01871,H1,0.133848730080048,0.0672554055376823,0.0466514076355469,Yes
BCHE_P06276,H10,-0.232634257310188,0.0676085731562007,0.000586568013273059,Yes
IGHV6.1_A0A0B4J1U7,H10,0.369672571943132,0.131507296836446,0.00496558377803202,Yes
APOE_P02649,H10,-0.115784094318821,0.0479975394077739,0.0159036593588757,Yes
C4A_P0C0L4,H10,-0.173539713652922,0.072848858463948,0.017263165178512,Yes
IGHV3.72_A0A0B4J1Y9,H10,0.198467551133128,0.0851652544255795,0.0198425036308363,Yes
CFD_P00746,H10,0.12699487341237,0.0564529665024491,0.0245381491478762,Yes
C9_P02748,H10,-0.0761307734500943,0.0373059255483992,0.0413539726238763,Yes
APOC1_P02654,H10,-0.163742214659026,0.0806575332183919,0.0424226265145555,Yes
APOL1_O14791_O14791_2_O14791_3,H11,0.0986434506593227,0.0285662186009365,0.000560648528067809,Yes
HPR_P00739,H11,0.106636159759334,0.0394074568621197,0.00684312712579382,Yes
IGHV1.18_A0A0C4DH31,H11,-0.138951662844388,0.0540869596683278,0.0102390661930638,Yes
APOC1_P02654,H11,-0.132318801548418,0.0520785984964271,0.011104246797031,Yes
SERPINA4_P29622,H11,-0.0789744646782952,0.0318434451644024,0.0131817607745095,Yes
APOE_P02649,H11,-0.0729946247939691,0.0314953269664673,0.0205266126844685,Yes
IGHA2_P01877,H11,0.0907472714264475,0.041021099956997,0.027016489231056,Yes
IGHV3.49_A0A0A0MS15,H11,0.0795944144445491,0.0370071329015387,0.0315613420858445,Yes
IGLV3.10_A0A075B6K4,H11,-0.133007690277167,0.062110823652821,0.0323059731973028,Yes
IGLL1_P15814,H11,0.0650379837217638,0.0306759861146072,0.0340627269568585,Yes
ITIH4_Q14624,H11,0.0449284567453557,0.0215131136979166,0.0368318536016177,Yes
SERPINF1_P36955,H11,0.0369131298961327,0.0184906202436748,0.0459767798876407,Yes
C1QB_P02746,H11,-0.0420851127964682,0.0213651160791349,0.0489394097129061,Yes
ITIH1_P19827,H12,-0.0919588345451789,0.0312390673524047,0.00326432827129097,Yes
HRG_P04196,H12,-0.126488978033053,0.049377070126561,0.0104577904138472,Yes
AMBP_P02760,H12,-0.069090066682625,0.0277016430449118,0.0126742390947259,Yes
ITIH2_P19823,H12,-0.0661904301507749,0.026854103316588,0.0137560110152264,Yes
IGHG2_P01859,H12,0.143592979502216,0.0586059152827982,0.0143284886368749,Yes
FN1_P02751,H12,-0.26822661707489,0.114786765447182,0.0195088979160309,Yes
FGA_P02671,H12,-0.233002585861476,0.104425509067616,0.0257256274801936,Yes
SERPINA3_P01011,H12,-0.0789431954083863,0.0357077928682069,0.0271132948730863,Yes
IGKV3.20_P01619,H12,-0.141855038774566,0.0642920298669007,0.0274194827977867,Yes
FGG_P02679_P02679_2,H12,-0.20210967779924,0.0940198395051875,0.0316512691333675,Yes
IGHV4.28_A0A0C4DH34,H12,-0.183534139874357,0.085428448863922,0.0317506867888895,Yes
SERPINF1_P36955,H12,-0.0780383736940371,0.0366973148100458,0.0335279113427862,Yes
FGB_P02675,H12,-0.209051638896893,0.100128843428879,0.0368855918180846,Yes
IGKV1.5_P01602,H12,-0.143449687991681,0.0695391559687316,0.0391992985251903,Yes
HP_P00738,H12,0.156691958320517,0.0791734727487711,0.0478833265676299,Yes
CFB_P00751,H13,-0.10653459949828,0.0286062837937977,0.00019904709668972,Yes
F12_P00748,H13,-0.146552279623131,0.0532685338125848,0.00596831988805513,Yes
KNG1_P01042_2,H13,-0.125186540199842,0.0456004656019512,0.00607658913907394,Yes
IGLV8.61_A0A075B6I0,H13,0.243355855763834,0.0895506165766202,0.00660962644951857,Yes
APOL1_O14791_O14791_2_O14791_3,H13,-0.12945178131719,0.0502555600100841,0.0100394597259292,Yes
IGHV4.28_A0A0C4DH34,H13,-0.190090272849376,0.0750484665249473,0.0113556207949859,Yes
GSN_P06396_P06396_2,H13,0.0782980366560889,0.0335193815114715,0.0195524288521072,Yes
CELSR2_Q9HCU4,H13,0.299741297241082,0.128429441993634,0.0196573154929114,Yes
ORM2_P19652,H13,-0.10749940790575,0.0497759290925241,0.0308661635115008,Yes
IGKV4.1_P06312,H13,-0.144118387781884,0.0678564825566848,0.0337508690762121,Yes
IGFALS_P35858_P35858_2,H13,-0.094633834208086,0.0449402244953399,0.035295234551513,Yes
FN1_P02751,H13,0.216736475707746,0.10794626500727,0.0447392863878346,Yes
GC_P02774_P02774_3,H13,-0.0455410016515086,0.0227547634556732,0.0454281297749728,Yes
FGG_P02679_P02679_2,H13,0.171214912289232,0.0861437724820336,0.0469394258468334,Yes
F13B_P05160,H13,0.153598022479928,0.07823300217039,0.0496856402792445,Yes
IGHV4.28_A0A0C4DH34,H14,-0.195396837002616,0.0580559985575224,0.000771829202163676,Yes
CLU_P10909_P10909_2_P10909_4_P10909_5,H14,0.0314058745952847,0.0140432009627772,0.0253898954850797,Yes
ITIH4_Q14624_Q14624_2,H14,-0.0395282401795551,0.018125916650134,0.0292676398658083,Yes
IGHV1.3_A0A0C4DH29,H14,-0.132055956450449,0.0620296862126068,0.0333308490539173,Yes
APOH_P02749,H15,-0.185988010878995,0.0566733303514502,0.00104174723808947,Yes
APOA2_P02652,H15,-0.0769475395144584,0.0278410964612306,0.0057429321272382,Yes
IGHM_P01871,H15,0.257385620438496,0.0979468757709292,0.00863118829865051,Yes
CD5L_O43866,H15,0.246037021537264,0.095861273365315,0.0103114652905147,Yes
F2_P00734,H15,-0.0665164171912721,0.02604267305817,0.0106872733268764,Yes
JCHAIN_P01591,H15,0.197613819714966,0.0821265687963816,0.0161704628357278,Yes
C4A_P0C0L4,H15,-0.207469964615151,0.0907789046684529,0.022346394798245,Yes
APOA4_P06727,H15,-0.13105071089487,0.0586704747768674,0.0255674407989277,Yes
GC_P02774_P02774_3,H15,-0.0592632355298653,0.0270929232209963,0.0287787679577995,Yes
ITIH4_Q14624,H15,0.0917246345316153,0.0426294736003854,0.0314913885924903,Yes
IGLV2.18_A0A075B6J9,H15,0.281747504679657,0.134942806429343,0.0368786625235085,Yes
IGLL5_B9A064,H15,0.114315146568216,0.0556590757688923,0.0400647279548583,Yes
IGHV2.26_A0A0B4J1V2,H15,-0.193041797320395,0.0951566185803852,0.042566983360605,Yes
IGLV3.10_A0A075B6K4,H15,-0.241414433442929,0.121535456766253,0.0470700351511733,Yes
C1QC_P02747,H16,-0.0850789364934134,0.0281791972345953,0.00255261613511637,Yes
TTR_P02766,H16,0.142419560127932,0.0481715906215534,0.00313224864022832,Yes
RBP4_P02753,H16,0.0789278250320746,0.0278914465101393,0.0046839178154332,Yes
C1S_P09871,H16,-0.0675497127486845,0.0263160519466843,0.0103034870867473,Yes
C1QB_P02746,H16,-0.0779823420655493,0.0316767958397476,0.0138715316625957,Yes
SERPINA7_P05543,H16,-0.111483567438554,0.0470184777324008,0.0177910348103132,Yes
SERPINF1_P36955,H16,0.0628395706995505,0.0267072868239033,0.0186826736966161,Yes
C5_P01031,H16,-0.0428845912334114,0.0186693531705407,0.0216741781846934,Yes
C8G_P07360,H16,-0.0896192445308744,0.0398730555405907,0.0246627965387873,Yes
IGHV4.28_A0A0C4DH34,H16,-0.13396035199306,0.0601983623667849,0.0261235139527638,Yes
ITIH4_Q14624_Q14624_2,H16,-0.040858794211279,0.0192464846275937,0.033830312638266,Yes
F13A1_P00488,H16,0.129912394573187,0.0613095437798758,0.034164157781932,Yes
IGHV1.18_A0A0C4DH31,H16,-0.149345248613792,0.0760109169777917,0.049517860495754,Yes
ITIH4_Q14624,H17,0.166814755229041,0.047251428575084,0.000420332496837705,Yes
IGHV3.49_A0A0A0MS15,H17,0.255964185241758,0.0819531711205809,0.00180297032599119,Yes
APOC3_P02656,H17,-0.188641014643911,0.0638116779138602,0.00313519435343146,Yes
LUM_P51884,H17,0.163318296048771,0.0562095403126655,0.00368934180215508,Yes
CLEC3B_P05452,H17,0.140704867334694,0.0484585738031427,0.00371192380893737,Yes
IGHV6.1_A0A0B4J1U7,H17,-0.56337623095138,0.207310385902179,0.00660909775742624,Yes
F13B_P05160,H17,0.26154701516989,0.0998099270014028,0.00881929133376635,Yes
APOL1_O14791_O14791_2_O14791_3,H17,-0.176479721365411,0.0701964351299102,0.0119787005730283,Yes
SERPIND1_P05546,H17,-0.133865542368423,0.0563898067350428,0.0176534391841248,Yes
