trait_name,haplo,estimate,std.error,p.value,associated
Weight,H1,-0.133349800500309,0.0513757665836096,0.00945397982069185,Yes
Visceral_Fat,H1,-0.113192368975162,0.0441763080148612,0.0104098787412059,Yes
Calcium,H1,-0.150128719196814,0.0590356126258604,0.0110015715245253,Yes
BMI,H1,-0.141588132434193,0.0557827226858752,0.0111539329566388,Yes
S2UCr,H1,-0.122669591090372,0.0579605639928897,0.0343273271545961,Yes
Lipase,H1,-0.119056029919377,0.059649615941909,0.0459634699434992,Yes
Magnesium,H10,-0.102317274004479,0.0435702232160868,0.018872919815631,Yes
Monocytes,H10,0.0890102868114073,0.0421345840666968,0.0346609051042366,Yes
INR_PT,H10,0.0839012003228713,0.0417623706159394,0.0445565680122568,Yes
Urate,H10,-0.0719610783765944,0.0366346516245078,0.0495180744119683,Yes
eGFRcrea,H11,0.116997694843612,0.0310988502524984,0.000169228472292282,Yes
SCr,H11,-0.108272703669324,0.034175519570135,0.00153780153993344,Yes
UACR,H11,0.120991753209246,0.0414612786452162,0.00352685983798762,Yes
UGlucose,H11,-0.123217881300287,0.0429172263999718,0.00409770299423617,Yes
FE_Alb,H11,0.103760133611429,0.0418149591573598,0.0130990448747457,Yes
SBP,H11,0.0821753936401016,0.0360327335943651,0.0225898967937508,Yes
Urine_pH,H11,0.0908841557419596,0.043596669813211,0.0371201043103015,Yes
INR_PT,H11,0.0865075930353472,0.0419837125789935,0.0393705743062616,Yes
WBC,H12,-0.195332890094591,0.0646619132233439,0.00252577202163984,Yes
Eosinophils,H12,0.171605855975891,0.0651276861373593,0.00842599358477125,Yes
CRP,H12,-0.145663125997099,0.06048108756565,0.0160363101776833,Yes
RDW,H12,-0.145484669492419,0.0604991061468531,0.0161980453605082,Yes
INR_PT,H12,0.13800038768092,0.0608696562531142,0.0233979192415981,Yes
Height,H12,0.0901376364161253,0.0422505112207425,0.0329101152068529,Yes
Urine_pH,H12,0.129243494640483,0.0626707601057956,0.0392029771059399,Yes
Transferrin,H12,-0.116972487347688,0.0592330347573289,0.0483140438915042,Yes
MCHC,H13,0.113093107843457,0.0486467797903902,0.0200992312281971,Yes
MCH,H13,0.110250271936091,0.0502683098499577,0.0283082930634078,Yes
Lipase,H13,-0.110491590145812,0.0512168916315368,0.0309987304846102,Yes
UGlucose,H13,-0.105752571175809,0.0497347516435531,0.0334947392368585,Yes
SCr,H13,-0.0810058141234501,0.0402908625951061,0.0443965101291581,Yes
TSH,H14,0.100047331510729,0.0348664358305837,0.00411865369972952,Yes
HGB,H14,-0.0662612436566985,0.0270424474923771,0.0142882808241931,Yes
AntiTPO,H14,0.079709299469107,0.0352055320038021,0.0235838268392652,Yes
DB,H14,-0.0759367319345623,0.0345293907016093,0.027882145688054,Yes
eGFRcrea,H14,0.0543355043203463,0.0251996987413365,0.0310868841491465,Yes
TB,H14,-0.0736974051140696,0.0343700868674553,0.0320331552303819,Yes
Magnesium,H14,-0.0751471668178263,0.0352968328293238,0.0332727993843958,Yes
HCT,H14,-0.0596776513440257,0.0280949264336939,0.0336772707100752,Yes
RBC,H14,-0.0608000085077307,0.0298877978440774,0.0419444158611044,Yes
SCr,H14,-0.0554023142847888,0.0275903326452984,0.0446606908454017,Yes
PTT,H14,0.0678172185384447,0.0340722910819066,0.0465689878149289,Yes
Magnesium,H15,-0.115066175328583,0.0400965866446564,0.00411501590059715,Yes
Cortisol,H15,0.107955795369515,0.0392309356175272,0.00593516006715733,Yes
Urine_pH,H15,0.0897608363251971,0.0401862008301916,0.0255250699542033,Yes
Fibrinogen,H15,0.0822359258375391,0.0373955471068365,0.0278898119258699,Yes
Chlorine,H15,-0.0800922631754851,0.0399526890834284,0.0450185353447874,Yes
Sodium,H16,-0.123622192499105,0.0487879018689252,0.0112928847397051,Yes
Potassium,H16,-0.115145921949462,0.0490820482624475,0.0189918623691474,Yes
Ferritin,H16,-0.0906543383888188,0.0392595787284951,0.020953809922637,Yes
Monocytes,H16,-0.102268102470643,0.048049635305992,0.0333242523338815,Yes
APTT_ratio,H17,-0.169657046636012,0.0630227593111362,0.00711180408209922,Yes
HbA1c,H17,-0.136852131711853,0.0562701345854372,0.0150269903785187,Yes
Basophils,H2,-0.0688733622252432,0.0274874558839421,0.0122356968460759,Yes
TSH,H2,0.0628253146696775,0.0272124800353308,0.0209763642591585,Yes
MCH,H2,-0.06232421055311,0.0271123257014191,0.0215356885578868,Yes
