trait_name,haplo,estimate,std.error,p.value,associated
kynurenine,H1,-0.194848678578208,0.0827624869588661,0.0185861411191419,Yes
ser,H1,0.202438091374091,0.0873487210855565,0.0205022655530396,Yes
lyso_pc_a_c14_0,H1,-0.199778088756807,0.0875888163691523,0.0225882288042893,Yes
pc_ae_c42_4,H1,0.19093827403504,0.0875342379926607,0.029196482097098,Yes
pc_aa_c42_2,H10,0.184151434256563,0.0582022386420739,0.00156326263504214,Yes
pc_aa_c40_2,H10,0.175711355565097,0.0579977930126933,0.00245806771375845,Yes
pc_ae_c40_5,H10,0.168356242614524,0.0581534861958296,0.00380360510941369,Yes
pc_ae_c36_2,H10,0.158393923916267,0.0551921415075855,0.00411951493298801,Yes
pc_aa_c42_0,H10,0.164236978055735,0.0572551110331309,0.0041371352108579,Yes
lyso_pc_a_c17_0,H10,0.154542108589022,0.0568160557696097,0.00654440818986468,Yes
ser,H10,0.156126697933278,0.0581192119545714,0.00724248345227751,Yes
pc_aa_c40_1,H10,0.150593590118506,0.0581580394260904,0.00963581375526879,Yes
lyso_pc_a_c18_2,H10,0.140880028237452,0.0548866203116599,0.0102875827135764,Yes
pc_ae_c40_6,H10,0.144602054645876,0.0570485819268629,0.0112766656597709,Yes
pc_ae_c38_2,H10,0.142686640188529,0.056758196580967,0.0119626767863217,Yes
pc_ae_c30_0,H10,0.133545427996449,0.056442310308818,0.0180076079609381,Yes
pc_ae_c42_4,H10,0.134874258078982,0.0575220137354478,0.0190696977831033,Yes
pc_ae_c44_6,H10,0.136125374732242,0.0583192263723171,0.0196180707988982,Yes
sm_oh_c14_1,H10,0.123238083763235,0.0538598054789788,0.0221615349436926,Yes
sm_c16_0,H10,0.12260419177906,0.0563262783340349,0.0295398426136466,Yes
pc_ae_c42_5,H10,0.12213093821971,0.0578050941769032,0.0346547779817965,Yes
sm_oh_c16_1,H10,0.111156460722936,0.0538830866091597,0.0391592575206057,Yes
ile,H10,-0.102273947167193,0.0497117530922403,0.0396927278175692,Yes
lyso_pc_a_c28_1,H10,0.109863920793718,0.0543013904936507,0.0430901370656387,Yes
pc_ae_c42_3,H10,0.116999749008012,0.057847959700286,0.0431608917297899,Yes
pc_aa_c38_0,H10,0.117481153046592,0.0582929982708464,0.0439077382743565,Yes
pc_ae_c32_1,H10,0.114636314910223,0.0569723117518043,0.0442455804927806,Yes
pc_ae_c32_1,H11,0.18571601881558,0.0565264610464886,0.00102342607921146,Yes
pc_ae_c32_2,H11,0.168418523285746,0.0547086122455124,0.00208922950470836,Yes
lyso_pc_a_c16_1,H11,0.174081154218432,0.0575757019216397,0.0025081291498974,Yes
pc_ae_c44_5,H11,0.171433492260322,0.0578505737607841,0.00305360942992006,Yes
pc_aa_c32_0,H11,0.166061176332713,0.056948689516905,0.00355766389717882,Yes
pc_aa_c32_1,H11,0.165848743200903,0.0574635156427409,0.00391240073842836,Yes
pc_aa_c40_3,H11,0.151872440317391,0.0570615131620009,0.0077968373830315,Yes
pc_ae_c44_6,H11,0.15383994243661,0.0580349830815992,0.00804894458409144,Yes
pc_ae_c42_1,H11,0.14760238931633,0.0584322988816427,0.0115587581807373,Yes
pc_ae_c42_4,H11,0.14314262949022,0.0570490492633154,0.0121271336631055,Yes
pc_aa_c34_1,H11,0.136294488567566,0.0581492283027903,0.0191140538089605,Yes
pc_aa_c42_4,H11,0.137087600638932,0.0585273982989988,0.0191958031389745,Yes
pc_ae_c42_2,H11,0.133857587457929,0.0572693320048513,0.019451484038461,Yes
sm_c16_0,H11,0.130433024586555,0.0560211326082176,0.0199271125438414,Yes
pc_ae_c34_0,H11,0.124978675377739,0.055383278756687,0.0240647328644819,Yes
pc_aa_c36_1,H11,0.129103203530673,0.0576319494390997,0.0251154152529975,Yes
creatinine,H11,-0.109575850957642,0.0489347083261814,0.0251743669957962,Yes
lyso_pc_a_c26_0,H11,0.127901930851473,0.0572230924718097,0.0254410725150986,Yes
pc_aa_c36_4,H11,0.129536030153099,0.0585500224559798,0.0269731371921085,Yes
c16,H11,0.118502046350357,0.0542710977398608,0.0290325498171256,Yes
pc_ae_c42_5,H11,0.12418196855996,0.0573424940823208,0.0303759901341358,Yes
pc_aa_c30_0,H11,0.12170950628563,0.0565542057555318,0.0314266875305449,Yes
pc_aa_c38_1,H11,0.123505280675703,0.0576031550325555,0.0320635222699179,Yes
c14_1_oh,H11,0.121964275731182,0.0573974442034497,0.033631300014757,Yes
pc_ae_c36_5,H11,0.123563819307146,0.0582004888253937,0.0337848830167231,Yes
spermine,H11,0.120505330378628,0.057745255392538,0.0369404688393806,Yes
ser,H11,0.119197514041876,0.0577835008668186,0.0391677905541854,Yes
lyso_pc_a_c20_4,H11,0.107148897540754,0.0520727310070546,0.0396602074581254,Yes
pc_ae_c34_1,H11,0.111780843436632,0.055304783948977,0.0433015076362011,Yes
cit,H11,0.101776761539465,0.0503853325035145,0.043426960995137,Yes
pc_aa_c26_0,H11,0.114985255120284,0.0571552151034883,0.044280795127801,Yes
pc_ae_c40_4,H11,0.114776357765109,0.0578164090804655,0.0471649758110919,Yes
pc_ae_c30_1,H11,0.110627881761389,0.0563623647965273,0.0497116347429873,Yes
sm_c24_0,H12,-0.193228375831155,0.0858918525517887,0.0245026250819154,Yes
adma,H12,-0.177907055244487,0.0802397998014572,0.0266438497596271,Yes
lyso_pc_a_c16_1,H12,-0.176127070627976,0.0832599615000289,0.0344342469772014,Yes
asp,H12,-0.173819400911967,0.0864585957469318,0.044425688943734,Yes
c14_2_oh,H13,0.153786901105232,0.0662483651993965,0.0202971870035351,Yes
c4,H13,-0.163151245784179,0.0716195582314196,0.0227567756095679,Yes
cit,H13,-0.129274497288557,0.0645579304303394,0.0452763408674219,Yes
c12_dc,H13,0.148368226943858,0.0746594797845415,0.0469341528422729,Yes
c4,H14,-0.161946830270247,0.0480014746534446,0.000745674890533898,Yes
spermidine,H14,-0.142748178226178,0.0491901469508324,0.00372052613358509,Yes
putrescine,H14,-0.125015113035284,0.0493600085763198,0.0113410481044867,Yes
c5_dc_c6_oh,H14,-0.10839921269411,0.0489606297222632,0.0268622435545078,Yes
c3,H14,-0.0918529999550695,0.0443187108730661,0.03825230564735,Yes
c0,H14,-0.0877384579592129,0.0446190277468929,0.0492952270572788,Yes
gln,H15,-0.191531263527378,0.0504153080823318,0.000146543464046633,Yes
putrescine,H15,-0.196309586037367,0.0526824495071432,0.0001959469250985,Yes
orn,H15,-0.136120478055411,0.0472145862003546,0.0039515602664919,Yes
c18,H15,-0.129190936743576,0.0479743535988857,0.00710085845640318,Yes
his,H15,-0.124194777652559,0.0516956477947649,0.0163142959950142,Yes
spermidine,H15,-0.121124050995087,0.0523094937921146,0.0206145579236909,Yes
sdma,H15,-0.110645816857867,0.0485756238207524,0.0227699559302876,Yes
asp,H15,0.117008137155954,0.0522128498609129,0.0250602053366396,Yes
c5_oh_c3_dc_m,H15,-0.112565702911176,0.051244264111998,0.0280800572215649,Yes
c10_1,H15,-0.109389265902881,0.0519482620508816,0.0352650037093225,Yes
pc_aa_c34_3,H15,0.105907005707877,0.0505168966326102,0.0360786961913462,Yes
lyso_pc_a_c18_0,H15,-0.105057546767568,0.0504910219687277,0.0374981917213193,Yes
sarcosine,H15,-0.100782377453737,0.048961361168165,0.0395902442494478,Yes
spermine,H15,-0.105273274969403,0.052299223112166,0.044165276143123,Yes
pc_aa_c36_0,H16,-0.145047646154827,0.0693651275288556,0.0365594720667937,Yes
adma,H17,0.217142261671111,0.0819095772147388,0.00804452481184281,Yes
lys,H17,-0.207556635923423,0.0835246734197832,0.0129806400280517,Yes
lyso_pc_a_c18_2,H17,-0.192611160715309,0.0806134130977407,0.016907499245606,Yes
c10_1,H17,-0.202629712362036,0.0854187180400887,0.0177112978247775,Yes
pc_aa_c32_1,H17,0.200224302196547,0.08538595137923,0.0190599391139519,Yes
c12_1,H17,-0.165472749727024,0.0841217466545114,0.0492177385671768,Yes
pc_aa_c42_0,H2,0.134598647067568,0.0379965795023607,0.00039925553542064,Yes
pc_aa_c32_2,H2,0.122075897015834,0.0371275355123513,0.00101423566563419,Yes
pc_aa_c32_3,H2,0.109922550130989,0.036291675080922,0.00246422932636414,Yes
pc_aa_c32_0,H2,0.112520796970114,0.0378074501216088,0.00292945151460966,Yes
pc_aa_c40_2,H2,0.114031714474926,0.0384641672919541,0.00304137089982248,Yes
pc_aa_c34_4,H2,0.113348601623147,0.0383126898101621,0.0031022231420772,Yes
pc_aa_c36_5,H2,0.108939094149534,0.0371840430288309,0.00340420039249745,Yes
pc_aa_c30_0,H2,0.105745814349461,0.0375945874092141,0.00492580431959366,Yes
pc_aa_c34_1,H2,0.105566117728898,0.0387051786352413,0.00639960275413842,Yes
pc_aa_c34_3,H2,0.100880389220861,0.0371035273703827,0.00656724636375738,Yes
pc_ae_c44_6,H2,0.101698555202144,0.0385362898635117,0.00833378298169718,Yes
pc_aa_c36_1,H2,0.100008916728484,0.038228398881355,0.00891454547691417,Yes
pc_ae_c44_5,H2,0.10090488425818,0.0385924139810453,0.00895268574392771,Yes
pc_ae_c42_5,H2,0.0997513035705652,0.0382316898139831,0.00909782094494904,Yes
c4,H2,-0.096317850939783,0.0377168584652237,0.0106804945838999,Yes
sm_c16_1,H2,0.0903642792561012,0.0357926315855404,0.0116041839157583,Yes
pc_aa_c36_6,H2,0.0947072932195504,0.037516548954176,0.0116123574889828,Yes
pc_ae_c42_3,H2,0.0944287941369297,0.0382602787575281,0.0136097515401168,Yes
pc_ae_c42_2,H2,0.0933403268414761,0.0381827801638399,0.0145285896612741,Yes
pc_ae_c36_0,H2,0.0933484756938672,0.0383228528636235,0.0148833452000661,Yes
