trait_name,haplo,estimate,std.error,p.value,associated
A2M_P01023,H1,0.137360133631654,0.0466423290734002,0.0032511342958772,Yes
CFI_P05156,H1,-0.090334486410789,0.0334501876936387,0.006955409269922,Yes
APOH_P02749,H1,-0.124882173536782,0.0476200416325776,0.0087672539550534,Yes
ORM2_P19652,H1,-0.129791171706032,0.0502375232405749,0.00981904581891335,Yes
FBLN1_P23142_P23142_4,H1,0.177084846468957,0.068839179777164,0.0101391742626291,Yes
SERPINA1_P01009,H1,0.0871744921644707,0.0348672998466851,0.0124583967559817,Yes
IGLV2.18_A0A075B6J9,H1,0.299727235455408,0.125095591003407,0.0166278643464062,Yes
KLKB1_P03952,H1,-0.0896238397054199,0.0375018316514717,0.0169076765281313,Yes
SHBG_P04278,H1,0.314112657449095,0.132460771692487,0.017776336350654,Yes
CP_P00450,H1,0.0824450990295555,0.0357293133663195,0.0210854046877209,Yes
GSN_P06396_P06396_2,H1,-0.074386017994801,0.0337307863401995,0.0274987552425143,Yes
IGKV4.1_P06312,H1,-0.141167043620812,0.0668426861085324,0.0347630676359341,Yes
SERPINA4_P29622,H1,-0.113482092846067,0.0567921405960334,0.0457720371351606,Yes
C8B_P07358,H1,0.0839143325780255,0.0421829514098131,0.046746258375733,Yes
LRG1_P02750,H10,0.0852916117741998,0.0311697522709771,0.00624364694580426,Yes
IGHG4_P01861,H10,0.215891120817509,0.0885087619425973,0.0147688500910739,Yes
SHBG_P04278,H10,0.204526315892396,0.0861155882102277,0.0176014689920847,Yes
IGHG3_P01860,H10,-0.107718055078573,0.0507951835391034,0.0340225541398365,Yes
SERPINA1_P01009,H10,0.0453668287585181,0.0228848412698035,0.0475128498424793,Yes
APOD_P05090,H10,0.0600544787757019,0.0305125189240489,0.049124717612911,Yes
RBP4_P02753,H11,-0.0685531449200728,0.0233552199485584,0.00335457316902144,Yes
KNG1_P01042_2,H11,-0.0850288900108267,0.030092758702986,0.00474651858792541,Yes
CFD_P00746,H11,-0.112021078702624,0.0411816466376274,0.00655703078148773,Yes
APOE_P02649,H11,0.0922919301195568,0.0364491105257092,0.0113822490702491,Yes
IGKV1.17_P01599,H11,-0.141516700580242,0.0578985523872512,0.0145655966249496,Yes
PON1_P27169,H11,0.0770624656769893,0.0319646133692351,0.0159657463549374,Yes
GC_P02774_P02774_3,H11,-0.034940395856694,0.0149092169407138,0.019157139678657,Yes
A2M_P01023,H11,0.0696413055241343,0.0302141671568843,0.021229087766325,Yes
F10_P00742,H11,-0.053100858090109,0.0231869858835247,0.0220738052733478,Yes
IGLL1_P15814,H11,-0.079448023898983,0.0347732944175405,0.0223874248657761,Yes
AZGP1_P25311,H11,-0.0430813620143514,0.0190468172198936,0.0237666426092449,Yes
IGHV3.64D_A0A0J9YX35,H11,-0.0831847888511622,0.0394500844621014,0.0350491536989506,Yes
APOC3_P02656,H11,0.0655518493525097,0.032793844839592,0.0456954953572091,Yes
F2_P00734,H11,-0.0281844286136693,0.0143636332035514,0.0498173416871932,Yes
AZGP1_P25311,H12,0.0895846946858164,0.0279064222016558,0.00133848722062058,Yes
IGHV1.3_A0A0C4DH29,H12,-0.242549216216444,0.0765591891184611,0.00154744068928503,Yes
ALB_P02768,H12,-0.067457631410675,0.0274067586149229,0.0138893594295444,Yes
FCN3_O75636,H12,-0.154413032790831,0.0642481261725231,0.0162956757303099,Yes
PROS1_P07225,H12,0.0704698889105748,0.0323235151825676,0.0293131667824456,Yes
IGHA2_P01877,H12,0.16612025732696,0.0769847362730448,0.0310084916136888,Yes
C1QB_P02746,H12,0.0783351201809103,0.0384446440390863,0.0416640880278649,Yes
GSN_P06396,H12,0.117728465249002,0.0588656859996302,0.0455826292496706,Yes
IGLL5_B9A064,H13,0.133347595501524,0.0456141918960783,0.00348471566575359,Yes
CFD_P00746,H13,-0.160822627383731,0.0591024466996097,0.0065389981101831,Yes
SERPIND1_P05546,H13,-0.103935073942871,0.0385907169393222,0.00710926192393524,Yes
HP_P00738,H13,-0.157444472797735,0.0664100705009864,0.0178037997274196,Yes
KLKB1_P03952,H13,-0.0790994999884777,0.0341926434161479,0.0207610864441503,Yes
IGLV3.21_P80748,H13,0.193340131453474,0.0849361193674593,0.0228880819500334,Yes
IGHG4_P01861,H13,0.278511849926294,0.1225648818027,0.023124932380155,Yes
IGKV3.20_P01619,H13,0.125280915597587,0.0565165478540641,0.0267067281070106,Yes
IGHV1.18_A0A0C4DH31,H13,0.191828014228878,0.0877801215315151,0.0289310728369363,Yes
IGKV4.1_P06312,H13,0.129462446041597,0.061195209195338,0.034452169402126,Yes
APOA4_P06727,H13,0.0898584992364131,0.0439497232288347,0.0409713462714514,Yes
ATRN_O75882_2,H13,-0.072291126942316,0.0368642720060886,0.0499571766294795,Yes
APOB_P04114,H14,0.0662505629368434,0.0269699224227358,0.0140794617855389,Yes
APOA2_P02652,H14,0.0340120380114588,0.0149847176440017,0.0232813130998391,Yes
CP_P00450,H14,0.0454418323106789,0.0210145551227662,0.0306549491983534,Yes
LBP_P18428,H14,0.113976840198595,0.0529831459925035,0.0315293114072199,Yes
APOL1_O14791_O14791_2_O14791_3,H14,0.0627782292994967,0.0304656944629175,0.0394129081678032,Yes
IGHG3_P01860,H14,-0.0930620364716501,0.0455390490759268,0.0410710892743356,Yes
IGLV3.21_P80748,H14,-0.111260038133615,0.0552858788356102,0.0442489308768741,Yes
IGHV3.7_P01780,H14,-0.0853396065287989,0.0427735377932205,0.0461038575196284,Yes
AFM_P43652,H15,-0.0745340485492999,0.0238855335560395,0.00182032235237006,Yes
IGHG3_P01860,H15,-0.133190575545572,0.050563051550097,0.00847195473847639,Yes
ORM2_P19652,H15,-0.0846423037080164,0.0335436700255765,0.0116682475149477,Yes
C9_P02748,H15,0.0625363451790886,0.0289452745255087,0.030801329585296,Yes
GPLD1_P80108,H15,0.0676577952604074,0.0317310041450564,0.0330572799245079,Yes
CP_P00450,H15,0.050073501080671,0.0237490882268293,0.0350638313064029,Yes
CPN1_P15169,H15,-0.0700515741639697,0.0332295062192967,0.0350919709556174,Yes
IGHA2_P01877,H15,0.0998712223695077,0.0504171893166006,0.0476809523551218,Yes
SERPINA1_P01009,H15,0.0453242096645968,0.0229279786490628,0.0481416051879082,Yes
IGHM_P01871,H16,0.220327084092424,0.0707720902769741,0.00186568032193923,Yes
HPR_P00739,H16,0.178524040146767,0.0579175849836056,0.00206948376667526,Yes
FBLN1_P23142,H16,-0.201635485873281,0.0665220572366894,0.00245439697012317,Yes
CD5L_O43866,H16,0.207591817808034,0.0704332512618901,0.00322619221116072,Yes
APOL1_O14791_O14791_2_O14791_3,H16,0.111402667399452,0.0425150192402138,0.00882281374217997,Yes
AFM_P43652,H16,-0.0759547981631793,0.0299243597303328,0.0111845224584801,Yes
IGHG2_P01859,H16,-0.112415452884926,0.0457381984936861,0.014027079559128,Yes
IGKC_P01834,H16,-0.0754409196028785,0.0310850738117001,0.015277792593527,Yes
LRG1_P02750,H16,0.0938606144039675,0.0388229479574888,0.0156714423075353,Yes
IGHG3_P01860,H16,-0.152098075750213,0.0635840519041877,0.0168056166416257,Yes
LUM_P51884,H16,-0.0844056438581925,0.0356268159720804,0.0178824138123177,Yes
HBA1_P69905,H16,-0.110364501070296,0.0476346437568292,0.0205667787492545,Yes
ITIH4_Q14624_Q14624_2,H16,0.0463705899089929,0.0205839430315863,0.0243361750400288,Yes
ALB_P02768,H16,-0.0430365711712614,0.0191782741391264,0.0248928186108128,Yes
JCHAIN_P01591,H16,0.132394931692985,0.059660412186751,0.0265408584960376,Yes
C9_P02748,H16,0.0777230672531362,0.0363110180759776,0.0323846779183379,Yes
ITIH4_Q14624,H16,0.0651596933890772,0.0312897774112886,0.037372869994146,Yes
C4BPB_P20851_P20851_2,H16,0.0941166950958254,0.0452704571739112,0.0376910939224322,Yes
C4BPA_P04003,H16,0.0554028566195067,0.0275748152407382,0.0445942369389911,Yes
IGHA1_P01876,H16,-0.125433872306352,0.0633381741468253,0.047738529304836,Yes
PROS1_P07225,H16,0.0560757469935181,0.0284793619177049,0.049032223645372,Yes
C9_P02748,H2,0.0618915025921043,0.021041585262051,0.00328882979142531,Yes
IGHG3_P01860,H2,-0.10846293590181,0.0371529178581515,0.00352979983532253,Yes
GC_P02774_P02774_3,H2,0.0301703974731646,0.0112195182213998,0.00719843397886022,Yes
IGLL5_B9A064,H2,-0.0568219847178788,0.0241215328893386,0.0185449252113208,Yes
C8B_P07358,H2,-0.0460201202978764,0.0202154413929685,0.0228771225350322,Yes
IGKV3.20_P01619,H2,0.0649786216907049,0.0290810338285971,0.0255196618918374,Yes
LRG1_P02750,H2,0.0503668719045996,0.0226540889238786,0.0262589990358639,Yes
CP_P00450,H2,0.0380684363598294,0.0171463452608383,0.0264684468847105,Yes
IGHA1_P01876,H2,-0.0798921226505854,0.0367892050334904,0.0299512959812973,Yes
