trait_name,haplo,estimate,std.error,p.value,associated
APTT_ratio,H1,0.327546977415076,0.0596397722044359,4.04780142737593e-08,Yes
TSH,H1,-0.197627544267059,0.0622628893725192,0.00150666535510657,Yes
Ferritin,H1,-0.136254995744985,0.0494202288090661,0.00584045734238181,Yes
Fibrinogen,H1,-0.129938917295548,0.0586725814985654,0.0268019999618754,Yes
Potassium,H10,-0.0626924000259228,0.0213774579094809,0.00336687813741721,Yes
Phosphorus,H10,-0.0564378094311078,0.0205075831844488,0.005930753938717,Yes
SCr,H10,0.0408651460018086,0.0169860151456521,0.0161506801866764,Yes
Chlorine,H10,0.0508263964905373,0.0215888302096176,0.0185730711014689,Yes
CRP,H10,-0.0474133719373961,0.0212749095195928,0.0258574761711587,Yes
PTT,H11,0.124570338570346,0.0437527876678166,0.0044184024816063,Yes
UProteins,H11,-0.103885370718614,0.0447298129814816,0.0202211615018935,Yes
CRP,H11,0.0951379294473145,0.0444185033362871,0.0322240712487654,Yes
MPV,H11,0.0962299002710699,0.045404077380567,0.0340749328320609,Yes
MCH,H11,0.0925291011444263,0.0447205215734042,0.0385611836814976,Yes
MCV,H11,0.0893582081377915,0.0447495755855023,0.0458625586341588,Yes
APTT_ratio,H2,0.280705447204255,0.0225922731661565,0,Yes
Chlorine,H2,0.0774599844355288,0.0237317884920354,0.00110148614918537,Yes
Height,H2,0.0517221909455054,0.0159549437193601,0.00119095338367914,Yes
Fibrinogen,H2,-0.0612366815349717,0.0221374434471798,0.00567943369800039,Yes
WBC,H2,-0.0655753255197531,0.0238550576264024,0.00598781911332003,Yes
PTT,H2,0.0625093130401454,0.0230132150241821,0.00661175335333031,Yes
TG,H2,-0.0630941823228006,0.0232913540104009,0.00675943647792465,Yes
Transferrin,H2,-0.0547642594374228,0.0223520473358047,0.0142958128659374,Yes
LDL,H2,-0.053434801816766,0.022611169124342,0.0181325518927169,Yes
TC,H2,-0.0531793614841846,0.0225580429293266,0.0184161012981343,Yes
PLT,H2,-0.0544764339705197,0.0232297761322911,0.0190365283702276,Yes
Calcium,H2,-0.0542989689145911,0.0236330077682393,0.0216011617957692,Yes
BMI,H2,-0.0450317133263106,0.022433254119553,0.0447318547812412,Yes
Calcium,H3,-0.113023042778321,0.039044750718045,0.00380155656683145,Yes
Height,H3,-0.0673689043670169,0.0263887094572607,0.0106931486610278,Yes
HGB,H3,0.0695899759925345,0.0302466246463441,0.0214216495382831,Yes
