trait_name,haplo,estimate,std.error,p.value,associated
asp,H1,-0.229388786559345,0.0845904773928527,0.00671006080704917,Yes
c18,H10,0.0763064282795177,0.0273215670850022,0.00523877556691921,Yes
c0,H10,0.0734609171944065,0.0269477911875361,0.00642668126229506,Yes
lyso_pc_a_c28_0,H10,0.0697772945850309,0.0298626237327414,0.0194891769850618,Yes
sdma,H10,0.0621066876723947,0.0276115279231735,0.0245259817050174,Yes
c4,H10,0.0608325342094439,0.0290932665778559,0.0365706947007327,Yes
creatinine,H10,0.0522754303229638,0.02502169361973,0.036727441523511,Yes
sarcosine,H10,0.0548006528718376,0.0279005162766789,0.0495551030386161,Yes
sm_c24_0,H10,0.0585526866377904,0.0298313514640078,0.0497123808528426,Yes
pc_aa_c34_4,H11,0.184207823457722,0.0673691101802715,0.0062678110745118,Yes
pc_aa_c36_4,H11,0.177429311610568,0.0681655343819413,0.00926402421635375,Yes
gln,H11,-0.1600646248672,0.0649695670230411,0.0137768989787181,Yes
orn,H11,-0.141603367849645,0.0608973951863567,0.020087189511746,Yes
lyso_pc_a_c18_2,H11,-0.143657374084907,0.0634583358220416,0.0236182771380904,Yes
kynurenine,H11,0.137286013112742,0.0638695745546711,0.0316329648359099,Yes
lys,H11,-0.138660173930245,0.0654917972946468,0.0342788670900713,Yes
pc_aa_c32_3,H11,0.128126598045331,0.0636393904198714,0.0441211597353073,Yes
lyso_pc_a_c20_3,H11,-0.124827702359875,0.0636150543067006,0.0497769489479456,Yes
taurine,H2,-0.198643341079403,0.0320359498400404,5.96224403182077e-10,Yes
asp,H2,-0.136808002746458,0.032104847437033,2.06072119675049e-05,Yes
arg,H2,-0.116965896542534,0.0321762597985282,0.000279915725887481,Yes
pc_aa_c38_3,H2,-0.0870344494774122,0.0319131107665612,0.00640365583548963,Yes
spermine,H2,0.083792385086812,0.032166962157724,0.00921011346782485,Yes
glu,H2,-0.0747099456668479,0.0298224955589427,0.0122636478695868,Yes
pc_aa_c40_6,H2,-0.073658182255423,0.0316172372523287,0.0198527711516299,Yes
c5_m_dc,H2,-0.0749806680529223,0.0324106038240306,0.0207278066556293,Yes
pc_aa_c38_4,H2,-0.0726091232017547,0.0319865458272387,0.0232402442887154,Yes
lys,H2,-0.0702746065687381,0.0313020016784342,0.0247977180910559,Yes
lyso_pc_a_c18_2,H2,0.0676741861490478,0.0304109178091533,0.026092981115371,Yes
met,H2,-0.0670296795044473,0.0305579801454018,0.0283042743691622,Yes
pc_aa_c40_4,H2,-0.0682011770049577,0.0321527618472183,0.0339453554780471,Yes
pc_aa_c42_4,H2,-0.0670034438521922,0.0324352121644231,0.038889754536914,Yes
pc_aa_c36_1,H2,-0.0649805105224788,0.0320562438480163,0.0426944366847199,Yes
sarcosine,H2,0.0611163937189744,0.0302108825696319,0.0431140374123447,Yes
spermidine,H3,0.132176818767358,0.0538751530893666,0.0141772478383961,Yes
sm_c26_0,H3,0.12966394859426,0.0536949524300249,0.015769687898191,Yes
c5_m_dc,H3,-0.12890207077693,0.0540990673045462,0.0172140684976521,Yes
pc_ae_c42_3,H3,0.117313964759505,0.0538489555479157,0.0293984610149294,Yes
c14,H3,0.105708889926657,0.0517621282118702,0.0411707366398721,Yes
pc_aa_c42_0,H3,0.109168270732131,0.0534760180631376,0.0412463456317256,Yes
sm_oh_c24_1,H4,-0.148219525413332,0.0563848354517944,0.00859068525963447,Yes
pc_aa_c42_4,H4,-0.136963995399437,0.0580163104417916,0.018265170329411,Yes
c3_dc_c4_oh,H4,-0.132779563736795,0.0573834404017069,0.0207036728535859,Yes
sm_oh_c14_1,H4,-0.109938165482882,0.0534006090878784,0.0395578583758569,Yes
pc_aa_c38_6,H5,-0.254566680345162,0.0817228305815905,0.00184730896002971,Yes
c18_1,H5,0.228738387073931,0.0758916742555403,0.00258794785125005,Yes
pc_aa_c42_6,H5,-0.24237619297215,0.0810428263068344,0.00279347961976173,Yes
pc_aa_c40_6,H5,-0.22046566530449,0.0797181179346364,0.00569817600131417,Yes
pc_ae_c40_6,H5,-0.211269994354166,0.080065602082311,0.00834168227959475,Yes
pc_ae_c42_0,H5,-0.214315131783394,0.0817293726831727,0.00875505478766092,Yes
pc_aa_c42_1,H5,-0.20019902106841,0.0820946304871002,0.0147688781254738,Yes
pc_ae_c42_3,H5,-0.188472066950008,0.0810182926973442,0.0200331193785799,Yes
pc_aa_c36_6,H5,-0.184924885592348,0.0799092664514145,0.0206880101473597,Yes
pc_aa_c36_4,H5,-0.191955074031662,0.0834553319114866,0.0214738880614194,Yes
c5_dc_c6_oh,H5,0.186587162441925,0.0825535375971532,0.0238414648340264,Yes
pc_ae_c38_0,H5,-0.176978311916135,0.0792574865819051,0.0255852984429092,Yes
pc_aa_c38_5,H5,-0.175155427304509,0.0797370497169498,0.0280790821038988,Yes
c14_2,H5,0.173203606519912,0.0807698691973095,0.0320364740708348,Yes
pc_aa_c40_5,H5,-0.168252646979078,0.0791093449226443,0.0334705602643857,Yes
pc_ae_c40_1,H5,-0.171905297859504,0.082876126611803,0.0380952445439324,Yes
pc_aa_c38_4,H5,-0.165508873230506,0.0804892082849063,0.0397940403117332,Yes
lyso_pc_a_c28_0,H6,0.105062438470079,0.0481434239998227,0.0291239112695703,Yes
