trait_name,haplo,estimate,std.error,p.value,associated
F12_P00748,H1,-0.674704321723831,0.041188721675859,0,Yes
IGHV5.10.1_A0A0J9YXX1,H1,0.490537267137722,0.180003910346146,0.00645915550192244,Yes
CFH_P08603,H1,-0.0732335033843759,0.0280515721391453,0.00907484731428587,Yes
SERPING1_P05155_P05155_3,H1,0.27550166255717,0.112411527910338,0.0143011535043183,Yes
PGLYRP2_Q96PD5,H1,0.108787361317356,0.0449401897321029,0.0155404820939338,Yes
APOA1_P02647,H1,0.124025300019406,0.0524754959184189,0.0181579355791359,Yes
IGHA1_P01876,H1,-0.195013858907113,0.083163107697959,0.0190847454339986,Yes
CD14_P08571,H1,0.174654858666078,0.0753047098393564,0.0204354503704809,Yes
IGHV3.7_P01780,H1,-0.169951679102672,0.0783286776671811,0.0300945941417252,Yes
C5_P01031,H1,-0.0579115224786014,0.0267105250562634,0.0302168458397909,Yes
CLEC3B_P05452,H1,0.0835614286563912,0.0406808666160707,0.0400426514868681,Yes
FETUB_Q9UGM5,H1,-0.208596310869707,0.103063007972709,0.0430489950519308,Yes
APOD_P05090,H1,0.10120723140085,0.0506423972517588,0.045742925677194,Yes
IGLV2.23_P01705,H1,-0.212610270403054,0.106914593476998,0.0468230155101179,Yes
F9_P00740,H1,0.197734234579318,0.100172435617119,0.0484670461090317,Yes
F12_P00748,H10,-0.593359690348245,0.0325726051461732,0,Yes
ITIH4_Q14624_Q14624_2,H10,0.0610706648779821,0.0210177057644715,0.00368752330934385,Yes
APOM_O95445,H10,0.0878241964355308,0.0357750036315076,0.0141404303187234,Yes
IGHG1_P01857,H10,-0.0909424340929767,0.0376177367415858,0.0156764039777635,Yes
SERPING1_P05155_P05155_3,H10,0.216034849090172,0.0909213184922754,0.0175518184297196,Yes
VTN_P04004,H10,0.0569287399049515,0.024521645887617,0.0203130406514214,Yes
PZP_P20742,H10,-0.181790369394135,0.080561948363935,0.0240988086056442,Yes
AFM_P43652,H10,0.0718152889421841,0.0319863898085566,0.0248184350829606,Yes
A1BG_P04217,H10,-0.0485303013969209,0.02320394957333,0.0365579259965918,Yes
SERPINA5_P05154,H10,0.156922720831583,0.0784893890507059,0.0456544208360525,Yes
C4BPA_P04003,H11,-0.0322289581765772,0.0119551314105445,0.00705493128524526,Yes
IGHG1_P01857,H11,-0.0385038321531318,0.0151585949236078,0.0111259222723388,Yes
IGHV3.72_A0A0B4J1Y9,H11,-0.0891418635916312,0.0354023005824325,0.0118475599404551,Yes
APOE_P02649,H11,-0.0500791716282623,0.0201048124184945,0.012787711795899,Yes
CPN2_P22792,H11,-0.0466635564161046,0.0202723673714768,0.0214030214571777,Yes
LUM_P51884,H11,0.0345388663762621,0.0153186406187215,0.0242138685828244,Yes
IGHG1_P01857,H12,-0.128829214852356,0.0370045072311795,0.000504796681187303,Yes
SERPINF2_P08697,H12,-0.0710553821237523,0.0266900222766955,0.00779754465121529,Yes
FCN3_O75636,H12,0.149128294690847,0.0564798459942,0.00831797683404423,Yes
APOC1_P02654,H12,0.203788818409586,0.0805884546468905,0.0114901218998607,Yes
IGLV1.40_P01703,H12,-0.21909741813365,0.0868641575547189,0.0117029256780241,Yes
APOA2_P02652,H12,0.0523333159692672,0.0217245605128946,0.0160498290894533,Yes
SERPINA3_P01011,H12,-0.0646138136672808,0.0277145485890801,0.019788396186132,Yes
APOC3_P02656,H12,0.0966424291015127,0.0436492180854379,0.0268880115046621,Yes
C2_P06681,H12,-0.0867309090980132,0.0411501681669513,0.0351304358960547,Yes
HBA1_P69905,H12,-0.103094591941283,0.0499822002276905,0.0392215954877351,Yes
APOD_P05090,H12,0.0811219087762629,0.0399430694370179,0.042336498073211,Yes
KLKB1_P03952,H12,0.0624734654263082,0.0316442942522582,0.0484326401602102,Yes
F12_P00748,H2,-0.618854948942464,0.0149775945936769,0,Yes
SERPING1_P05155_P05155_3,H2,0.228079016167429,0.0415297893182697,4.25804962400633e-08,Yes
ITIH4_Q14624_Q14624_2,H2,0.0524997523471075,0.00966395390900292,5.93406719318068e-08,Yes
APOE_P02649,H2,-0.069271390872526,0.0219978042258311,0.00165198615937068,Yes
CLEC3B_P05452,H2,0.0397431830776656,0.0147146723968349,0.00694797489279231,Yes
ORM2_P19652,H2,-0.0431130212521689,0.0197815728298303,0.0293642638204143,Yes
SERPINA5_P05154,H2,0.0779371373853702,0.036815978132993,0.0343353119309633,Yes
C2_P06681,H2,-0.0381779290066467,0.0186566159493132,0.0407965128777064,Yes
IGHV3.49_A0A0A0MS15,H2,-0.0529011761932895,0.0260130101831586,0.0420626928271319,Yes
GSN_P06396_P06396_2,H2,0.0268774139786095,0.01330526869996,0.0434532237299499,Yes
FCN3_O75636,H2,-0.0514731657945838,0.0257566933337407,0.0457461751951296,Yes
APOD_P05090,H3,0.090999161325265,0.0313514169434652,0.00372440863279122,Yes
C3_P01024,H3,-0.0410395536723702,0.0158303112303934,0.00956858161413643,Yes
HP_P00738,H3,-0.108202121381132,0.0499176320281494,0.0302551558143487,Yes
CFH_P08603,H3,-0.0378187491361587,0.0174663671037738,0.0304370524804491,Yes
ORM2_P19652,H3,-0.071208260818405,0.0341382323652557,0.0370615451953435,Yes
APOA4_P06727,H3,0.067658668531847,0.0334211750641929,0.0430020284576167,Yes
APOL1_O14791_O14791_2_O14791_3,H3,-0.0683997518318638,0.0345310101854202,0.0476893054530401,Yes
SERPIND1_P05546,H3,-0.0555115854415223,0.0282954079437051,0.0498579019953307,Yes
GPLD1_P80108,H4,-0.0895422239528829,0.0335857011075639,0.00770929502465845,Yes
IGLV2.23_P01705,H4,-0.163507065598664,0.0675122885293205,0.0154905543876485,Yes
SERPINA3_P01011,H4,0.0502219693610139,0.0223495494951938,0.0246946909924812,Yes
CPN1_P15169,H4,0.0772170018448753,0.0343897980066621,0.0248079350688597,Yes
IGKV1.5_P01602,H4,-0.0957775517023128,0.0430221237127182,0.0260614077602062,Yes
SERPINC1_P01008,H4,0.0335011795898493,0.0157902515666052,0.0339381461708208,Yes
IGHV3.7_P01780,H4,-0.104675407414432,0.0497776078115022,0.0355489360679981,Yes
IGHV3.64D_A0A0J9YX35,H4,-0.0837318990549327,0.0419760051206171,0.046146693463224,Yes
CFH_P08603,H4,-0.0360860350828502,0.0182768771305466,0.0484135219112509,Yes
APOE_P02649,H5,-0.173824328697145,0.0531236741658824,0.00107797013517952,Yes
C8B_P07358,H5,-0.0884522214991091,0.0404121626940381,0.0286805209540901,Yes
ECM1_Q16610_Q16610_4,H5,0.12463032293747,0.0582750214254822,0.0325322505633818,Yes
RBP4_P02753,H5,-0.0753441096897745,0.0355358615617733,0.0340568544657498,Yes
SERPINF1_P36955,H5,-0.068793130517465,0.0326045646743349,0.0349355798203201,Yes
