trait_name,haplo,estimate,std.error,p.value,associated
UProteins,H1,-0.252321089988916,0.0808735486767224,0.00181285996715097,Yes
FE_Alb,H1,0.195096574662237,0.0774706412681014,0.011803393624265,Yes
UGlucose,H1,-0.201402332530922,0.0808758737931342,0.0127773756129708,Yes
TSH,H1,-0.198226804815481,0.0814408789895508,0.0149467195908164,Yes
DBP,H1,0.157398084201657,0.0728117927186522,0.0306588913120296,Yes
AntiTPO,H1,-0.168220572566514,0.081821490165576,0.0398079362044532,Yes
UACR,H1,0.154349323923472,0.0765723264674664,0.0438488043434133,Yes
Magnesium,H10,0.229941903878867,0.0798407628158016,0.00398326510861557,Yes
Phosphorus,H10,-0.185220329642716,0.0774420174620796,0.0167835491932071,Yes
UHGB,H10,0.16589332253953,0.0805245216279003,0.0394034938703536,Yes
MCV,H10,-0.162643596938016,0.0799828043991007,0.042024419556105,Yes
Transferrin,H11,0.150407145951477,0.0474336540925092,0.00152328160335591,Yes
Cortisol,H11,0.124542043558823,0.049740322472137,0.0122975325771517,Yes
SAlb,H11,-0.105755469799303,0.0471222595869654,0.0248315010026219,Yes
Urine_pH,H11,-0.104642234593127,0.0509743160324991,0.0401081420931324,Yes
Urate,H12,0.112927543409682,0.0429182034351294,0.00851790553293874,Yes
Body_Fat,H12,0.0794915157646983,0.0389941898961084,0.0415156862275055,Yes
Urine_pH,H13,-0.168326546829415,0.0634103102805248,0.00795098148530515,Yes
LDL,H13,-0.142755606842883,0.0593133785383972,0.0161069201258486,Yes
Basophils,H13,-0.147571961884738,0.0635693379769437,0.0202790957990402,Yes
TG,H13,0.127614316159483,0.0611673857505223,0.0369700085522773,Yes
PLT,H13,-0.125796419072174,0.0614897150636662,0.0407952181320419,Yes
Iron,H2,0.212910520620561,0.0649565750025281,0.00104921872581265,Yes
TS,H2,0.174729764708359,0.0652000612753239,0.00737379400443006,Yes
Magnesium,H2,-0.158382188864289,0.0648228286531666,0.0145666867091117,Yes
MCV,H2,-0.155359350433275,0.0650614563481625,0.0169599962794411,Yes
TG,H2,0.138168370661465,0.0643145881818014,0.0317069713013125,Yes
RBC,H2,0.119187738756684,0.0557121789070547,0.0324263435870784,Yes
MCH,H2,-0.130181474671221,0.0647998602482647,0.0445604441630136,Yes
DBP,H3,0.117188832262743,0.0395139085487067,0.00302491434665364,Yes
Pulse_Rate,H3,0.113815580749492,0.043608219383555,0.00906589615418829,Yes
SBP,H3,0.0834474379631228,0.0367782215133652,0.0232887696593762,Yes
Potassium,H3,0.0910822119241588,0.0439309233760895,0.0381638307612222,Yes
Phosphorus,H3,-0.0826502552328316,0.0417973689756075,0.0480174688712423,Yes
Transferrin,H4,0.179300200565328,0.0539121745280364,0.000884183822893236,Yes
Height,H4,-0.0816481894499302,0.0392670037731646,0.0376089122041359,Yes
Monocytes,H5,-0.149159766880055,0.0595683798423112,0.0122918222988819,Yes
PLT,H5,-0.136326119457802,0.0598582853509794,0.0227739151416488,Yes
LDL,H5,-0.122207978631369,0.0581520380140663,0.0356143649071785,Yes
Height,H6,-0.186217066512553,0.0582073608515062,0.00138144529891626,Yes
UG2Cr,H6,-0.201984679399039,0.0831847294775136,0.0151899070205501,Yes
FE_Alb,H6,-0.195084693100407,0.0810783336786083,0.0161367757609514,Yes
Basophils,H6,-0.204917400565323,0.0870852008180308,0.0186342653501006,Yes
UProteins,H6,-0.173820678863364,0.0847317938495132,0.04024614818143,Yes
MCHC,H7,0.207265076457108,0.0719740517834181,0.00398688901547639,Yes
PLT,H7,-0.192140687420801,0.0737161843896933,0.00915807535140467,Yes
MCH,H7,0.192491011518873,0.075152590994087,0.0104384049412822,Yes
TSH,H7,-0.191197583586662,0.0747046043549498,0.0104972415184519,Yes
ALP,H7,-0.174175060207067,0.0752826188039526,0.0207045574279188,Yes
SAlb,H7,-0.163619797516538,0.0708971085212242,0.0210234136536711,Yes
TG,H7,0.151625631629089,0.0738683886790841,0.0401272255183067,Yes
ALT_GPT,H8,-0.18886172536757,0.0812232808482613,0.0200759215475226,Yes
Transferrin,H8,0.174476124381617,0.0835626982196448,0.0368205537825446,Yes
HCT,H8,-0.144989518321543,0.072021804166691,0.0441214537799242,Yes
UGlucose,H9,-0.186902198599997,0.0766288762954007,0.0147391291885386,Yes
ALP,H9,-0.178302899596176,0.0747514439251339,0.017080719000951,Yes
PLT,H9,-0.177349986361838,0.0763603111008697,0.0202193920428939,Yes
UG2Cr,H9,-0.170884377607906,0.0741425135932481,0.0211931527295679,Yes
eGFRcrea,H9,-0.120547253212559,0.0529538376268701,0.0228349647165367,Yes
FE_Glu,H9,-0.167242161199077,0.0749764632168734,0.0257251875399183,Yes
Urine_pH,H9,-0.164100699355007,0.0792478028818132,0.0384041444295025,Yes
