trait_name,haplo,estimate,std.error,p.value,associated
sarcosine,H1,-0.266028272579352,0.0823641940519771,0.00124437945333078,Yes
c3_dc_c4_oh,H1,-0.263540743575854,0.0907347299779376,0.00369036025567526,Yes
c6_1,H1,-0.195409679742267,0.0893743231293293,0.0288199145994135,Yes
c2,H1,-0.189302130130747,0.0894589648601131,0.0343754470089586,Yes
gln,H10,-0.238760706984044,0.0732791773542996,0.00112673880778758,Yes
lys,H10,-0.197599954881447,0.0770686312924407,0.0103707992619153,Yes
pc_ae_c42_0,H10,0.174147893790339,0.0773258560193213,0.0243467036281235,Yes
tyr,H10,-0.153793402593212,0.0711041987381015,0.0305822767146717,Yes
c0,H10,-0.137373089902442,0.0679486188137711,0.0432454567318608,Yes
orn,H10,-0.137594108132469,0.0681015812315564,0.0433795876344789,Yes
c9,H11,-0.163505621799491,0.0641959255004763,0.0108884723556417,Yes
t4_oh_pro,H11,0.133568179109425,0.0613454867335578,0.0294926268870315,Yes
c8,H11,-0.125546089019809,0.0628385920864384,0.0457668803785154,Yes
sdma,H12,-0.350852883946999,0.113665400483284,0.00203217440645842,Yes
creatinine,H12,-0.276020534214529,0.102215914002729,0.00694392130284016,Yes
ser,H12,-0.28989037653641,0.121411345556729,0.0169834041418744,Yes
c10,H12,-0.294895376836755,0.128403590713001,0.0216710583929056,Yes
pc_ae_c34_3,H12,-0.264350907913223,0.11693819425378,0.0238161735786426,Yes
pc_aa_c32_1,H12,0.27201586957398,0.12061206831925,0.0241473258963794,Yes
lyso_pc_a_c20_3,H12,0.252020187331182,0.111838936544617,0.0242652403367853,Yes
c10_2,H12,-0.255957638421026,0.120052268158789,0.0330393344383637,Yes
lyso_pc_a_c16_1,H12,0.247651189693836,0.117756214682195,0.0354961186096334,Yes
c14_1_oh,H12,-0.257935221877767,0.126178280091007,0.0409720672645992,Yes
spermine,H12,0.231949147356222,0.114081623961296,0.0420735898909745,Yes
c12_1,H12,-0.24753552076549,0.122129315367927,0.0427196988404175,Yes
c5_dc_c6_oh,H12,-0.24180944245728,0.119667168059116,0.0433527778120699,Yes
ala,H13,0.182263976679919,0.0832864798041892,0.0286754654870731,Yes
c5_dc_c6_oh,H13,-0.162676552288819,0.0822799138475096,0.0480704991368968,Yes
sdma,H2,-0.149353560622027,0.0566869148542643,0.00844055512272268,Yes
c5_dc_c6_oh,H2,-0.143943091374022,0.0603112432018321,0.0170296383326147,Yes
asn,H2,-0.125319413158499,0.0608862300533182,0.0396047048737356,Yes
pc_aa_c40_1,H2,0.122465933780335,0.0623754930073739,0.0496454700394269,Yes
gln,H3,-0.274246327035319,0.08006164732483,0.000617537432169524,Yes
creatinine,H3,-0.186883264998132,0.0700989387131363,0.00769479564462316,Yes
pc_aa_c32_2,H3,0.190621311426061,0.0797122512714974,0.01681349997222,Yes
sdma,H3,-0.179380403258135,0.0766734956321689,0.0193373031344108,Yes
orn,H3,-0.1707948946758,0.0733533863112749,0.0199216756020268,Yes
pc_aa_c36_3,H3,0.181650378034985,0.081450438742193,0.0257679041832066,Yes
