trait_name,haplo,estimate,std.error,p.value,associated
CFH_P08603,H1,-0.0642826978376024,0.0263257845348134,0.014662686844358,Yes
IGLV1.40_P01703,H1,0.244515571110644,0.10148434958361,0.016030309402201,Yes
APOH_P02749,H1,-0.108653860668377,0.0467562940493838,0.0201912378321907,Yes
HPX_P02790,H1,-0.0525603364321207,0.0231021397831079,0.0229582838247007,Yes
SERPINA3_P01011,H1,0.0687782853714519,0.0328381286472526,0.0362901977824523,Yes
IGLV8.61_A0A075B6I0,H1,0.183866366999722,0.0917518945050502,0.0451519615323535,Yes
CPN1_P15169,H1,0.0976972327279554,0.0492668070757839,0.047442657238175,Yes
F10_P00742,H10,-0.074022146238714,0.0329862538581937,0.0248925694456112,Yes
CD5L_O43866,H10,-0.163519840493001,0.0790344613962242,0.0386220694574444,Yes
IGHM_P01871,H10,-0.156474157949773,0.0789649294715711,0.0476058440417062,Yes
APOC1_P02654,H11,0.135747313861248,0.068558817759092,0.0477801302008578,Yes
SERPINA3_P01011,H12,0.0820263599030645,0.0292370066671308,0.00505049851415462,Yes
APOM_O95445,H12,-0.084469298331786,0.0383333736047795,0.0276211225732377,Yes
F13B_P05160,H12,-0.142316450002744,0.0704171166322954,0.0433504761692194,Yes
CFH_P08603,H12,0.0458440288015627,0.0230594783063656,0.0468807035575545,Yes
CLU_P10909_P10909_2_P10909_4_P10909_5,H2,0.0312849704463076,0.0136166058082159,0.0216454170104383,Yes
IGHV3.72_A0A0B4J1Y9,H2,-0.162246829382221,0.073700363667924,0.0277698561866375,Yes
IGHV5.10.1_A0A0J9YXX1,H3,0.405266098217581,0.159784909355259,0.0112453468887885,Yes
ORM1_P02763,H4,-0.145771978991646,0.0534238146660071,0.00639216533393183,Yes
ITIH4_Q14624_Q14624_2,H4,-0.072589980367507,0.0270643838219732,0.00734995341693767,Yes
SHBG_P04278,H4,0.365836594149218,0.137016141280344,0.00761951365105462,Yes
CLEC3B_P05452,H4,0.0889206212521538,0.0395395529027532,0.0245804496968542,Yes
FBLN1_P23142_P23142_4,H4,0.143490398061312,0.0719642729579762,0.0462389856066177,Yes
APOA1_P02647,H4,0.106329784735508,0.0533586517707193,0.0463675333252553,Yes
APOA1_P02647,H5,0.181228305990405,0.0614352779885659,0.00319971818323395,Yes
GPX3_P22352,H5,0.168896173633279,0.0687525025483954,0.0140746674037939,Yes
ITIH1_P19827,H5,-0.0751167451307541,0.0309996190976134,0.0154368247845564,Yes
GC_P02774_P02774_3,H5,0.0650179900977757,0.0279178714614776,0.0199207547504949,Yes
CD5L_O43866,H5,-0.243153975074055,0.109025230403108,0.0257935773559084,Yes
AMBP_P02760,H5,-0.0639460726645829,0.0300230210568334,0.0332491516757902,Yes
APOB_P04114,H5,0.118481524707064,0.0565478437318492,0.0362208199752594,Yes
IGHV3.7_P01780,H5,0.178950864777982,0.089489535988886,0.0456112701361369,Yes
LPA_P08519,H6,-0.809272795525428,0.327622326825629,0.0135532619932142,Yes
HRG_P04196,H6,-0.136824867036329,0.06411878410357,0.0329178199840916,Yes
IGHV3.72_A0A0B4J1Y9,H6,-0.288769872882344,0.146412872116266,0.0486539553344905,Yes
ITIH3_Q06033_Q06033_2,H7,0.195289685606284,0.0788931336538903,0.0133567066332914,Yes
CFH_P08603,H7,-0.075503673920526,0.0311025667727303,0.0152503198075808,Yes
IGHV4.28_A0A0C4DH34,H7,0.224792540606573,0.0932088216289746,0.0159289835184049,Yes
C5_P01031,H7,-0.0664040974838322,0.0301514484302798,0.0277052782643334,Yes
SERPINA6_P08185,H7,0.164231413502135,0.0759402093281291,0.0306361455344515,Yes
IGHG3_P01860,H7,0.199199345881254,0.0941553022358458,0.0344451421948917,Yes
IGKV2.30_P06310,H7,0.164021373608101,0.0780978693571881,0.0357821993001153,Yes
ITIH4_Q14624_Q14624_2,H8,0.0695453471795103,0.0302006243701826,0.0213495452009194,Yes
CD5L_O43866,H9,-0.349659798420411,0.113238875200955,0.00203215121973721,Yes
IGHM_P01871,H9,-0.315441745471008,0.111800673877114,0.0048073599767724,Yes
JCHAIN_P01591,H9,-0.232995539878873,0.0993437693681782,0.0190648286711124,Yes
CPN2_P22792,H9,0.17411739870876,0.0766053427239464,0.0230915361163473,Yes
SERPINF2_P08697,H9,-0.0935042281321469,0.0419233351415624,0.0257863938524747,Yes
SERPINA7_P05543,H9,-0.162895837610746,0.0809642082214563,0.0443016337819366,Yes
