trait_name,haplo,estimate,std.error,p.value,associated
UG2Cr,H1,0.107361994323534,0.0352771254710221,0.00234404478496719,Yes
FE_Glu,H1,0.102590974840325,0.0358987075361932,0.00427290137515435,Yes
PLT,H1,0.101356880172865,0.0361580753261324,0.00506806026496642,Yes
MPV,H1,-0.0796910539844449,0.0370886222826842,0.0316795932667162,Yes
UAlb,H1,-0.0750579560180245,0.0377497123048411,0.0467991784881987,Yes
GGT,H1,-0.0633941110968838,0.0320660485644251,0.0480646910668026,Yes
AntiTPO,H10,0.157032629053423,0.057005227835159,0.00588278866141234,Yes
TSH,H10,0.142694390277806,0.0550336937500031,0.00952910901294612,Yes
FE_HGB,H10,0.135788107074372,0.0546530151677142,0.0129842347991929,Yes
APTT_ratio,H11,0.07650344759886,0.036435167207777,0.0357734825631191,Yes
Calcium,H11,-0.0795012754163686,0.0379232797907218,0.0360688374533291,Yes
MCHC,H11,-0.073194469309068,0.0359548137190407,0.0417975230031462,Yes
Chlorine,H11,0.0757637061105792,0.0377988346858382,0.0450490330366591,Yes
Phosphorus,H12,-0.0951511029332903,0.0438035350318183,0.0298570330384842,Yes
PLT,H13,0.0843706190677657,0.0308895396428067,0.0063158875845204,Yes
Lymphocytes,H13,-0.0731116176809572,0.0314113284936048,0.0199512084055575,Yes
WBC,H13,0.0710884669554071,0.0318445889227762,0.0256086492752832,Yes
Neutrophils,H13,0.0681268495284227,0.0316093254848293,0.0311587485298912,Yes
MCH,H14,-0.113333530780811,0.0424948537106336,0.00766291951505238,Yes
ALT_GPT,H14,-0.0889461403017013,0.0385626995286047,0.0210967504188362,Yes
Fibrinogen,H14,0.0850916772589155,0.0398270921666158,0.0326553412224628,Yes
RDW,H14,0.0835153549118007,0.0415696067828469,0.0445529404369442,Yes
Magnesium,H14,-0.0847687858521684,0.0430749147524328,0.0490966499600525,Yes
RBC,H14,0.0715546028882394,0.0364133017194226,0.049427986121515,Yes
Neutrophils,H2,0.160743804709714,0.0670665247045683,0.0165540301684475,Yes
Lymphocytes,H2,-0.144465877628001,0.0666052682854045,0.030102106173048,Yes
Basophils,H2,-0.145429839015432,0.0672987267052052,0.030716928750975,Yes
Iron,H2,0.13314131022832,0.0664693500156917,0.0451931539168544,Yes
Sodium,H2,-0.130089377980628,0.0660253923077844,0.0488262932096619,Yes
SBP,H3,-0.0722246886709327,0.0304452670909153,0.0176933925164888,Yes
Transferrin,H3,-0.0810152269761002,0.0344043278748606,0.0185478066116032,Yes
HbA1c,H3,-0.0664113673967746,0.0311936007404653,0.0332727788062801,Yes
TS,H3,0.0743398419840838,0.0359371969144877,0.0386032520389858,Yes
MCHC,H4,-0.207700265262272,0.0628746063668369,0.000957803780389677,Yes
INR_PT,H4,0.169017373519218,0.063426098763323,0.00771324695423603,Yes
RDW,H4,0.16023024588908,0.0649977867075053,0.0137080510642962,Yes
Magnesium,H4,-0.160719929789531,0.0668091541287945,0.0161574860287734,Yes
PLT,H4,-0.145417171672322,0.0647877235131948,0.0248161359505539,Yes
RBC,H4,-0.116542544936938,0.0566868718889071,0.0398123730061468,Yes
Sodium,H5,0.158115709101866,0.0638775376315813,0.0133254811029644,Yes
Urate,H5,-0.122664856806755,0.0547808870210341,0.0251606056259044,Yes
Pulse_Rate,H5,0.138260703836027,0.0634616774518683,0.0293759440767338,Yes
Chlorine,H6,-0.170369248046066,0.0612412270711303,0.00541145428609258,Yes
APTT_ratio,H6,0.146623257727714,0.0578837124254527,0.0113188023743429,Yes
BMI,H6,-0.128445614394025,0.0566701012385959,0.0234343410504076,Yes
Visceral_Fat,H6,-0.0891776165203024,0.0450435845324382,0.0477465628160205,Yes
LDL,H7,-0.131573432854143,0.0408871339176967,0.00129424151182067,Yes
BMI,H7,-0.12527018454386,0.0407422143750692,0.0021115622634067,Yes
Lipase,H7,0.131954450406841,0.0433422975648637,0.00233561623599643,Yes
Body_Fat,H7,-0.0997831966837657,0.0328679290521727,0.00240314053850854,Yes
Visceral_Fat,H7,-0.0953910943103624,0.0325409290092179,0.00338014095104633,Yes
TC,H7,-0.111467021620329,0.0407904508804335,0.0062908577187355,Yes
Weight,H7,-0.0988883049708902,0.0376019117538703,0.0085518558669182,Yes
Fibrinogen,H7,-0.1009376492198,0.0402869522730746,0.0122412751647327,Yes
Phosphorus,H7,0.0971930473190272,0.0409794243582001,0.0177186503491313,Yes
ALP,H8,0.0871932646268024,0.0286739662967089,0.0023638723395778,Yes
MCHC,H8,-0.0842086411316354,0.0278928088038741,0.00254102252780219,Yes
APTT_ratio,H8,0.0829592921067025,0.0279594129749052,0.00301146554775578,Yes
RDW,H8,0.0751663000607203,0.0283965734799534,0.00813039133864502,Yes
PLT,H8,0.0746986507018668,0.0286098591718107,0.00903987274848639,Yes
MCH,H8,-0.0682431879913597,0.0289712947070154,0.0185105508425605,Yes
TSH,H9,0.177433995015335,0.0674627285626822,0.00854608417563263,Yes
Urine_pH,H9,-0.173165482301466,0.069517290119622,0.0127520535616332,Yes
eGFRcrea,H9,-0.102258163589538,0.0490576033193961,0.0371389420148942,Yes
