trait_name,haplo,estimate,std.error,p.value,associated
pc_aa_c42_5,H1,-0.162473682854955,0.0489274524624374,0.000902765772955005,Yes
pc_ae_c38_0,H1,-0.152450362622518,0.0488373958616342,0.00180652350617239,Yes
pc_aa_c32_0,H1,-0.141468084739209,0.0494816422950879,0.0042630628137057,Yes
pc_aa_c36_6,H1,-0.134808551304479,0.0482263584816948,0.00519963720494143,Yes
pc_ae_c34_1,H1,-0.130363640344512,0.047791237754749,0.00639318445382631,Yes
pc_aa_c36_0,H1,-0.137441646284667,0.0504322563910779,0.00644174828728961,Yes
pc_ae_c32_2,H1,-0.128033359928406,0.0475807408788354,0.00714461577573,Yes
pc_ae_c44_3,H1,-0.133394735410848,0.0496289406163217,0.00720955602759532,Yes
sm_c18_1,H1,-0.127536211414295,0.0477069204273252,0.00752873867621129,Yes
pc_aa_c34_1,H1,-0.133345688864428,0.0503389887506228,0.0080933110422492,Yes
sm_c18_0,H1,-0.129397046473796,0.0489640165705623,0.00824425060284861,Yes
pc_aa_c36_1,H1,-0.130782134267797,0.0495761616574478,0.00835907881777387,Yes
pc_aa_c38_6,H1,-0.130093519299631,0.0497711885172266,0.00897359748382121,Yes
pc_ae_c32_1,H1,-0.127585893999374,0.0488744816431919,0.0090619015882738,Yes
pc_ae_c34_0,H1,-0.12365715371498,0.0473763485109351,0.0090719018910379,Yes
pc_aa_c42_6,H1,-0.129145805582108,0.0496879383155477,0.00936657875034319,Yes
pc_ae_c36_0,H1,-0.12853229068714,0.0497895408740579,0.00985818654745096,Yes
sm_c24_1,H1,-0.130050320761025,0.0507908082646856,0.0104739068583082,Yes
sm_c26_1,H1,-0.126981491115351,0.0501764087394402,0.0114064793762991,Yes
pc_aa_c36_5,H1,-0.119716320626284,0.0487726353168275,0.0141305218068832,Yes
pc_ae_c40_5,H1,-0.122138070160675,0.0498213261470525,0.014251042490824,Yes
sm_c16_0,H1,-0.118121544360287,0.0488215248999301,0.0155705294383819,Yes
pc_aa_c32_1,H1,-0.118666974453028,0.0492830661347851,0.0160733133060482,Yes
pc_ae_c40_6,H1,-0.116701557958618,0.0489626687038408,0.0171778579579622,Yes
pc_ae_c36_1,H1,-0.112844055216824,0.0476129361379016,0.0178152033566581,Yes
pc_aa_c40_6,H1,-0.11471055045607,0.0486072061468146,0.0183063077820433,Yes
tyr,H1,-0.114099336063697,0.0483599926717433,0.0183346725658287,Yes
pc_aa_c42_4,H1,-0.116680122389849,0.0501009925230256,0.0198944232757396,Yes
pc_ae_c42_2,H1,-0.114791664175248,0.0495725748615278,0.0206090071352318,Yes
pc_aa_c38_0,H1,-0.114877966161183,0.0500617431382449,0.0217800287111478,Yes
pc_ae_c38_6,H1,-0.11439218016078,0.0504901590599934,0.0235060469957937,Yes
sm_c24_0,H1,-0.114031453553667,0.0505953383030638,0.0242417595587341,Yes
sm_c16_1,H1,-0.105430987588368,0.0470345204248742,0.0250224614576409,Yes
pc_ae_c44_4,H1,-0.111193835709002,0.0503958706170916,0.0273897151285216,Yes
pc_aa_c42_2,H1,-0.107720830606471,0.0501838345070002,0.0318674241902945,Yes
pc_aa_c28_1,H1,-0.101574096176734,0.0476149866934192,0.032941919378414,Yes
pc_aa_c30_0,H1,-0.103770509262936,0.04868817271965,0.0330988262708733,Yes
ser,H1,-0.10748053231147,0.0514359517385609,0.0366919202765503,Yes
pc_ae_c30_2,H1,-0.0947240479596417,0.0459987624102921,0.0395070778124633,Yes
pc_ae_c40_2,H1,-0.0989243266580735,0.0481016766446043,0.0397670312180267,Yes
pc_ae_c40_1,H1,-0.103040099799593,0.0501190576739727,0.0398306908770341,Yes
c14_1_oh,H1,0.0994533489246368,0.0487828842755097,0.0415203174730261,Yes
spermidine,H1,-0.101873589049673,0.0502846961043891,0.0428113877003402,Yes
pc_aa_c26_0,H1,-0.0991152964602575,0.049827542361039,0.0467239191941746,Yes
c16_1_oh,H1,0.0986843927711384,0.0498169380862307,0.0476393024500874,Yes
pc_ae_c38_4,H1,-0.0981703023640798,0.0495622241205992,0.0476608488520531,Yes
pc_ae_c30_0,H1,-0.0956432178144027,0.0486186971887646,0.0492006719394498,Yes
pc_ae_c42_0,H10,0.235735950802855,0.0921284915893818,0.0105262806964177,Yes
c8,H11,0.169909128820866,0.0510473778812541,0.000878049752654375,Yes
spermidine,H11,-0.166124240283174,0.0513825885896676,0.00123062359490178,Yes
