trait_name,haplo,estimate,std.error,p.value,associated
C1QB_P02746,H1,0.0763404800605229,0.0228756824107995,0.000855123102877275,Yes
C1R_P00736,H1,0.0628483544222962,0.020974551191835,0.00275092103549168,Yes
C1QC_P02747,H1,0.0638800793716446,0.0217904508766348,0.00339441630587123,Yes
IGKV3.20_P01619,H1,-0.103088609723591,0.0356213312786258,0.00382698485300237,Yes
LPA_P08519,H1,0.344071229985193,0.12843556745456,0.00742003084959975,Yes
IGKV1.5_P01602,H1,-0.0922990891310911,0.0370338808776493,0.0127381349774314,Yes
KNG1_P01042_2,H1,-0.0726396615517125,0.029716135344158,0.0145561582204183,Yes
AGT_P01019,H1,-0.101987039658867,0.0418444624620506,0.0148472363988679,Yes
IGLV1.51_P01701,H1,-0.120582408052079,0.0539748845962981,0.0255427985117263,Yes
IGLV1.40_P01703,H1,-0.133859859110525,0.0601433273748743,0.0260988959746986,Yes
C1S_P09871,H1,0.0411337076786199,0.0187546752832072,0.0283547449178443,Yes
C2_P06681,H1,0.0575891997408599,0.0283572690790153,0.0423460766849075,Yes
IGLV2.23_P01705,H1,-0.117845699342954,0.059194700390218,0.0465787038008774,Yes
FCN3_O75636,H10,-0.150248409571182,0.0418800965607773,0.000338314335917911,Yes
PON1_P27169,H10,0.087590036105414,0.0316539339083555,0.0056851628350183,Yes
GSN_P06396_P06396_2,H10,0.0550159851126656,0.0217797847606502,0.0115802488280572,Yes
IGLV8.61_A0A075B6I0,H10,-0.146508281785275,0.0587558274756877,0.0126944204817152,Yes
F9_P00740,H10,-0.136840766852424,0.0596226675926997,0.0217854168071141,Yes
KLKB1_P03952,H10,-0.0523528203690691,0.0235481810725791,0.026264371275462,Yes
BCHE_P06276,H11,0.100298547437456,0.0491856952354372,0.0415067619235288,Yes
SERPINF2_P08697,H12,0.0886064411237291,0.0325459647728456,0.00651102009474958,Yes
C8G_P07360,H12,-0.13162602300536,0.0524988888517585,0.012213519627037,Yes
C8B_P07358,H12,-0.102280171089096,0.0434655297742751,0.0186709043439219,Yes
SERPINA3_P01011,H12,0.0722464340650666,0.0340193022991336,0.033765932944019,Yes
C8A_P07357,H12,-0.0699158321970293,0.0342644982705127,0.041377843353636,Yes
C4A_P0C0L4,H13,0.154207099940761,0.0463271517054922,0.000881673077646195,Yes
LRG1_P02750,H13,0.0683546809726378,0.0263930019695349,0.00964068669935836,Yes
F13A1_P00488,H13,-0.108874585358585,0.0442459264458252,0.013915677678499,Yes
CP_P00450,H13,0.045657902898575,0.0198741614681483,0.0216574438190973,Yes
SERPINA3_P01011,H13,0.0393094058791423,0.0180850683776701,0.0298031217156969,Yes
IGLL1_P15814,H13,-0.0657896946300223,0.0303234765716497,0.0301044065856337,Yes
HPX_P02790,H13,0.0265571474347148,0.0129475943777691,0.0403288168188001,Yes
C9_P02748,H13,0.0499892544329486,0.0247190296833867,0.0432212999909254,Yes
